msa_x,municipality,msa_y
"Des Moines-West Des Moines, IA","['Dallas County, IA', 'Guthrie County, IA', 'Jasper County, IA', 'Madison County, IA', 'Polk County, IA', 'Warren County, IA']","Des Moines-West Des Moines, IA"
"Florence, SC","['Darlington County, SC', 'Florence County, SC']","Florence, SC"
"Winston-Salem, NC","['Davidson County, NC', 'Davie County, NC', 'Forsyth County, NC', 'Stokes County, NC', 'Yadkin County, NC']","Winston-Salem, NC"
"Owensboro, KY","['Daviess County, KY', 'Hancock County, KY', 'McLean County, KY']","Owensboro, KY"
"Cincinnati, OH-KY-IN","['Dearborn County, IN', 'Franklin County, IN', 'Ohio County, IN', 'Union County, IN', 'Boone County, KY', 'Bracken County, KY', 'Campbell County, KY', 'Gallatin County, KY', 'Grant County, KY', 'Kenton County, KY', 'Pendleton County, KY', 'Brown County, OH', 'Butler County, OH', 'Clermont County, OH', 'Hamilton County, OH', 'Warren County, OH']","Cincinnati, OH-KY-IN"
"Muncie, IN","['Delaware County, IN']","Muncie, IN"
"Columbus, OH","['Delaware County, OH', 'Fairfield County, OH', 'Franklin County, OH', 'Hocking County, OH', 'Licking County, OH', 'Madison County, OH', 'Morrow County, OH', 'Perry County, OH', 'Pickaway County, OH', 'Union County, OH']","Columbus, OH"
"Bend, OR","['Deschutes County, OR']","Bend, OR"
"Washington-Arlington-Alexandria, DC-VA-MD-WV","['District of Columbia County, DC', 'Calvert County, MD', 'Charles County, MD', 'Frederick County, MD', 'Montgomery County, MD', ""Prince George's County, MD"", 'Arlington County, VA', 'Clarke County, VA', 'Culpeper County, VA', 'Fauquier County, VA', 'Loudoun County, VA', 'Madison County, VA', 'Rappahannock County, VA', 'Stafford County, VA', 'Warren County, VA', 'Alexandria, VA', 'Fairfax County, VA', 'Fairfax, VA', 'Falls Church, VA', 'Prince William County, VA', 'Manassas, VA', 'Manassas Park, VA', 'Spotsylvania County, VA', 'Fredericksburg, VA', 'Jefferson County, WV']","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"Rochester, MN","['Dodge County, MN', 'Fillmore County, MN', 'Olmsted County, MN', 'Wabasha County, MN']","Rochester, MN"
"St. Joseph, MO-KS","['Doniphan County, KS', 'Andrew County, MO', 'Buchanan County, MO', 'DeKalb County, MO']","St. Joseph, MO-KS"
"Albany, GA","['Dougherty County, GA', 'Lee County, GA', 'Terrell County, GA', 'Worth County, GA']","Albany, GA"
"Lawrence, KS","['Douglas County, KS']","Lawrence, KS"
"Las Cruces, NM","['Doña Ana County, NM']","Las Cruces, NM"
"Dubuque, IA","['Dubuque County, IA']","Dubuque, IA"
"Poughkeepsie-Newburgh-Middletown, NY","['Dutchess County, NY', 'Orange County, NY']","Poughkeepsie-Newburgh-Middletown, NY"
"Odessa, TX","['Ector County, TX']","Odessa, TX"
"Rocky Mount, NC","['Edgecombe County, NC', 'Nash County, NC']","Rocky Mount, NC"
"Sacramento-Roseville-Folsom, CA","['El Dorado County, CA', 'Placer County, CA', 'Sacramento County, CA', 'Yolo County, CA']","Sacramento-Roseville-Folsom, CA"
"Colorado Springs, CO","['El Paso County, CO', 'Teller County, CO']","Colorado Springs, CO"
"El Paso, TX","['El Paso County, TX', 'Hudspeth County, TX']","El Paso, TX"
"Elkhart-Goshen, IN","['Elkhart County, IN']","Elkhart-Goshen, IN"
"Buffalo-Cheektowaga, NY","['Erie County, NY', 'Niagara County, NY']","Buffalo-Cheektowaga, NY"
"Erie, PA","['Erie County, PA']","Erie, PA"
"Pensacola-Ferry Pass-Brent, FL","['Escambia County, FL', 'Santa Rosa County, FL']","Pensacola-Ferry Pass-Brent, FL"
"Boston-Cambridge-Newton, MA-NH","['Essex County, MA', 'Middlesex County, MA', 'Norfolk County, MA', 'Plymouth County, MA', 'Suffolk County, MA', 'Rockingham County, NH', 'Strafford County, NH']","Boston-Cambridge-Newton, MA-NH"
"Gadsden, AL","['Etowah County, AL']","Gadsden, AL"
"Fairbanks, AK","['Fairbanks North Star Borough County, AK']","Fairbanks, AK"
"Bridgeport-Stamford-Norwalk, CT","['Fairfield County, CT']","Bridgeport-Stamford-Norwalk, CT"
"Waco, TX","['Falls County, TX', 'McLennan County, TX']","Waco, TX"
"Little Rock-North Little Rock-Conway, AR","['Faulkner County, AR', 'Grant County, AR', 'Lonoke County, AR', 'Perry County, AR', 'Pulaski County, AR', 'Saline County, AR']","Little Rock-North Little Rock-Conway, AR"
"Beckley, WV","['Fayette County, WV', 'Raleigh County, WV']","Beckley, WV"
"Deltona-Daytona Beach-Ormond Beach, FL","['Flagler County, FL', 'Volusia County, FL']","Deltona-Daytona Beach-Ormond Beach, FL"
"Rome, GA","['Floyd County, GA']","Rome, GA"
"Charlottesville, VA","['Fluvanna County, VA', 'Greene County, VA', 'Nelson County, VA', 'Albemarle County, VA', 'Charlottesville, VA']","Charlottesville, VA"
"Fond du Lac, WI","['Fond du Lac County, WI']","Fond du Lac, WI"
"Logan, UT-ID","['Franklin County, ID', 'Cache County, UT']","Logan, UT-ID"
"Springfield, MA","['Franklin County, MA', 'Hampden County, MA', 'Hampshire County, MA']","Springfield, MA"
"Raleigh-Cary, NC","['Franklin County, NC', 'Johnston County, NC', 'Wake County, NC']","Raleigh-Cary, NC"
"Chambersburg-Waynesboro, PA","['Franklin County, PA']","Chambersburg-Waynesboro, PA"
"Winchester, VA-WV","['Frederick County, VA', 'Winchester, VA', 'Hampshire County, WV']","Winchester, VA-WV"
"Fresno, CA","['Fresno County, CA']","Fresno, CA"
"Peoria, IL","['Fulton County, IL', 'Marshall County, IL', 'Peoria County, IL', 'Stark County, IL', 'Tazewell County, IL', 'Woodford County, IL']","Peoria, IL"
"Toledo, OH","['Fulton County, OH', 'Lucas County, OH', 'Ottawa County, OH', 'Wood County, OH']","Toledo, OH"
"Tallahassee, FL","['Gadsden County, FL', 'Jefferson County, FL', 'Leon County, FL', 'Wakulla County, FL']","Tallahassee, FL"
"Enid, OK","['Garfield County, OK']","Enid, OK"
"Hot Springs, AR","['Garland County, AR']","Hot Springs, AR"
"Manhattan, KS","['Geary County, KS', 'Pottawatomie County, KS', 'Riley County, KS']","Manhattan, KS"
"Flint, MI","['Genesee County, MI']","Flint, MI"
"Dothan, AL","['Geneva County, AL', 'Henry County, AL', 'Houston County, AL']","Dothan, AL"
"Blacksburg-Christiansburg, VA","['Giles County, VA', 'Pulaski County, VA', 'Montgomery County, VA', 'Radford, VA']","Blacksburg-Christiansburg, VA"
"Victoria, TX","['Goliad County, TX', 'Victoria County, TX']","Victoria, TX"
"Morristown, TN","['Grainger County, TN', 'Hamblen County, TN', 'Jefferson County, TN']","Morristown, TN"
"Alexandria, LA","['Grant County, LA', 'Rapides County, LA']","Alexandria, LA"
"Sherman-Denison, TX","['Grayson County, TX']","Sherman-Denison, TX"
"Tuscaloosa, AL","['Greene County, AL', 'Hale County, AL', 'Pickens County, AL', 'Tuscaloosa County, AL']","Tuscaloosa, AL"
"Dayton-Kettering, OH","['Greene County, OH', 'Miami County, OH', 'Montgomery County, OH']","Dayton-Kettering, OH"
"Longview, TX","['Gregg County, TX', 'Harrison County, TX', 'Rusk County, TX', 'Upshur County, TX']","Longview, TX"
"Greensboro-High Point, NC","['Guilford County, NC', 'Randolph County, NC', 'Rockingham County, NC']","Greensboro-High Point, NC"
"Gainesville, GA","['Hall County, GA']","Gainesville, GA"
"Grand Island, NE","['Hall County, NE', 'Howard County, NE', 'Merrick County, NE']","Grand Island, NE"
"Gulfport-Biloxi, MS","['Hancock County, MS', 'Harrison County, MS', 'Jackson County, MS', 'Stone County, MS']","Gulfport-Biloxi, MS"
"Elizabethtown-Fort Knox, KY","['Hardin County, KY', 'Larue County, KY', 'Meade County, KY']","Elizabethtown-Fort Knox, KY"
"Beaumont-Port Arthur, TX","['Hardin County, TX', 'Jefferson County, TX', 'Orange County, TX']","Beaumont-Port Arthur, TX"
"Omaha-Council Bluffs, NE-IA","['Harrison County, IA', 'Mills County, IA', 'Pottawattamie County, IA', 'Cass County, NE', 'Douglas County, NE', 'Sarpy County, NE', 'Saunders County, NE', 'Washington County, NE']","Omaha-Council Bluffs, NE-IA"
"Hartford-East Hartford-Middletown, CT","['Hartford County, CT', 'Middlesex County, CT', 'Tolland County, CT']","Hartford-East Hartford-Middletown, CT"
"Kingsport-Bristol, TN-VA","['Hawkins County, TN', 'Sullivan County, TN', 'Scott County, VA', 'Washington County, VA', 'Bristol, VA']","Kingsport-Bristol, TN-VA"
"Davenport-Moline-Rock Island, IA-IL","['Henry County, IL', 'Mercer County, IL', 'Rock Island County, IL', 'Scott County, IA']","Davenport-Moline-Rock Island, IA-IL"
"Utica-Rome, NY","['Herkimer County, NY', 'Oneida County, NY']","Utica-Rome, NY"
"Tampa-St. Petersburg-Clearwater, FL","['Hernando County, FL', 'Hillsborough County, FL', 'Pasco County, FL', 'Pinellas County, FL']","Tampa-St. Petersburg-Clearwater, FL"
"McAllen-Edinburg-Mission, TX","['Hidalgo County, TX']","McAllen-Edinburg-Mission, TX"
"Sebring-Avon Park, FL","['Highlands County, FL']","Sebring-Avon Park, FL"
"Manchester-Nashua, NH","['Hillsborough County, NH']","Manchester-Nashua, NH"
"Urban Honolulu, HI","['Honolulu County, HI']","Urban Honolulu, HI"
"Warner Robins, GA","['Houston County, GA', 'Peach County, GA']","Warner Robins, GA"
"La Crosse-Onalaska, WI-MN","['Houston County, MN', 'La Crosse County, WI']","La Crosse-Onalaska, WI-MN"
"Kokomo, IN","['Howard County, IN']","Kokomo, IN"
"El Centro, CA","['Imperial County, CA']","El Centro, CA"
"Sebastian-Vero Beach, FL","['Indian River County, FL']","Sebastian-Vero Beach, FL"
"Grand Rapids-Kentwood, MI","['Ionia County, MI', 'Kent County, MI', 'Montcalm County, MI', 'Ottawa County, MI']","Grand Rapids-Kentwood, MI"
"San Angelo, TX","['Irion County, TX', 'Sterling County, TX', 'Tom Green County, TX']","San Angelo, TX"
"Carbondale-Marion, IL","['Jackson County, IL', 'Johnson County, IL', 'Williamson County, IL']","Carbondale-Marion, IL"
"Topeka, KS","['Jackson County, KS', 'Jefferson County, KS', 'Osage County, KS', 'Shawnee County, KS', 'Wabaunsee County, KS']","Topeka, KS"
"Jackson, MI","['Jackson County, MI']","Jackson, MI"
"Medford, OR","['Jackson County, OR']","Medford, OR"
"Joplin, MO","['Jasper County, MO', 'Newton County, MO']","Joplin, MO"
"New Orleans-Metairie, LA","['Jefferson County, LA', 'Orleans County, LA', 'Plaquemines County, LA', 'St. Bernard County, LA', 'St. Charles County, LA', 'St. James County, LA', 'St. John the Baptist County, LA', 'St. Tammany County, LA']","New Orleans-Metairie, LA"
"Watertown-Fort Drum, NY","['Jefferson County, NY']","Watertown-Fort Drum, NY"
"Weirton-Steubenville, WV-OH","['Jefferson County, OH', 'Brooke County, WV', 'Hancock County, WV']","Weirton-Steubenville, WV-OH"
"Twin Falls, ID","['Jerome County, ID', 'Twin Falls County, ID']","Twin Falls, ID"
"Iowa City, IA","['Johnson County, IA', 'Washington County, IA']","Iowa City, IA"
"Kansas City, MO-KS","['Johnson County, KS', 'Leavenworth County, KS', 'Linn County, KS', 'Miami County, KS', 'Wyandotte County, KS', 'Bates County, MO', 'Caldwell County, MO', 'Cass County, MO', 'Clay County, MO', 'Clinton County, MO', 'Jackson County, MO', 'Lafayette County, MO', 'Platte County, MO', 'Ray County, MO']","Kansas City, MO-KS"
"Grants Pass, OR","['Josephine County, OR']","Grants Pass, OR"
"Provo-Orem, UT","['Juab County, UT', 'Utah County, UT']","Provo-Orem, UT"
"Kalamazoo-Portage, MI","['Kalamazoo County, MI']","Kalamazoo-Portage, MI"
"Kankakee, IL","['Kankakee County, IL']","Kankakee, IL"
"Dover, DE","['Kent County, DE']","Dover, DE"
"Bakersfield, CA","['Kern County, CA']","Bakersfield, CA"
"Seattle-Tacoma-Bellevue, WA","['King County, WA', 'Pierce County, WA', 'Snohomish County, WA']","Seattle-Tacoma-Bellevue, WA"
"Hanford-Corcoran, CA","['Kings County, CA']","Hanford-Corcoran, CA"
"Bremerton-Silverdale-Port Orchard, WA","['Kitsap County, WA']","Bremerton-Silverdale-Port Orchard, WA"
"Coeur d'Alene, ID","['Kootenai County, ID']","Coeur d'Alene, ID"
"Michigan City-La Porte, IN","['LaPorte County, IN']","Michigan City-La Porte, IN"
"Scranton--Wilkes-Barre, PA","['Lackawanna County, PA', 'Luzerne County, PA', 'Wyoming County, PA']","Scranton--Wilkes-Barre, PA"
"Houma-Thibodaux, LA","['Lafourche County, LA', 'Terrebonne County, LA']","Houma-Thibodaux, LA"
"Orlando-Kissimmee-Sanford, FL","['Lake County, FL', 'Orange County, FL', 'Osceola County, FL', 'Seminole County, FL']","Orlando-Kissimmee-Sanford, FL"
"Lincoln, NE","['Lancaster County, NE', 'Seward County, NE']","Lincoln, NE"
"Lancaster, PA","['Lancaster County, PA']","Lancaster, PA"
"Eugene-Springfield, OR","['Lane County, OR']","Eugene-Springfield, OR"
"Detroit-Warren-Dearborn, MI","['Lapeer County, MI', 'Livingston County, MI', 'Macomb County, MI', 'Oakland County, MI', 'St. Clair County, MI', 'Wayne County, MI']","Detroit-Warren-Dearborn, MI"
"Cheyenne, WY","['Laramie County, WY']","Cheyenne, WY"
"Fort Collins, CO","['Larimer County, CO']","Fort Collins, CO"
"Decatur, AL","['Lawrence County, AL', 'Morgan County, AL']","Decatur, AL"
"Lebanon, PA","['Lebanon County, PA']","Lebanon, PA"
"Auburn-Opelika, AL","['Lee County, AL']","Auburn-Opelika, AL"
"Cape Coral-Fort Myers, FL","['Lee County, FL']","Cape Coral-Fort Myers, FL"
"Hinesville, GA","['Liberty County, GA', 'Long County, GA']","Hinesville, GA"
"Huntsville, AL","['Limestone County, AL', 'Madison County, AL']","Huntsville, AL"
"Sioux Falls, SD","['Lincoln County, SD', 'McCook County, SD', 'Minnehaha County, SD', 'Turner County, SD']","Sioux Falls, SD"
"Wausau-Weston, WI","['Lincoln County, WI', 'Marathon County, WI']","Wausau-Weston, WI"
"Albany-Lebanon, OR","['Linn County, OR']","Albany-Lebanon, OR"
"Texarkana, TX-AR","['Little River County, AR', 'Miller County, AR', 'Bowie County, TX']","Texarkana, TX-AR"
"Rochester, NY","['Livingston County, NY', 'Monroe County, NY', 'Ontario County, NY', 'Orleans County, NY', 'Wayne County, NY', 'Yates County, NY']","Rochester, NY"
"Los Angeles-Long Beach-Anaheim, CA","['Los Angeles County, CA', 'Orange County, CA']","Los Angeles-Long Beach-Anaheim, CA"
"Williamsport, PA","['Lycoming County, PA']","Williamsport, PA"
"Decatur, IL","['Macon County, IL']","Decatur, IL"
"Madera, CA","['Madera County, CA']","Madera, CA"
"Syracuse, NY","['Madison County, NY', 'Onondaga County, NY', 'Oswego County, NY']","Syracuse, NY"
"Youngstown-Warren-Boardman, OH-PA","['Mahoning County, OH', 'Trumbull County, OH', 'Mercer County, PA']","Youngstown-Warren-Boardman, OH-PA"
"North Port-Sarasota-Bradenton, FL","['Manatee County, FL', 'Sarasota County, FL']","North Port-Sarasota-Bradenton, FL"
"Phoenix-Mesa-Chandler, AZ","['Maricopa County, AZ', 'Pinal County, AZ']","Phoenix-Mesa-Chandler, AZ"
"Ocala, FL","['Marion County, FL']","Ocala, FL"
"Salem, OR","['Marion County, OR', 'Polk County, OR']","Salem, OR"
"Port St. Lucie, FL","['Martin County, FL', 'St. Lucie County, FL']","Port St. Lucie, FL"
"Midland, TX","['Martin County, TX', 'Midland County, TX']","Midland, TX"
"Kahului-Wailuku-Lahaina, HI","['Maui County, HI', 'Kalawao County, HI']","Kahului-Wailuku-Lahaina, HI"
"Bloomington, IL","['McLean County, IL']","Bloomington, IL"
"Rapid City, SD","['Meade County, SD', 'Pennington County, SD']","Rapid City, SD"
"Springfield, IL","['Menard County, IL', 'Sangamon County, IL']","Springfield, IL"
"Merced, CA","['Merced County, CA']","Merced, CA"
"Trenton-Princeton, NJ","['Mercer County, NJ']","Trenton-Princeton, NJ"
"Grand Junction, CO","['Mesa County, CO']","Grand Junction, CO"
"Midland, MI","['Midland County, MI']","Midland, MI"
"Milwaukee-Waukesha, WI","['Milwaukee County, WI', 'Ozaukee County, WI', 'Washington County, WI', 'Waukesha County, WI']","Milwaukee-Waukesha, WI"
"Missoula, MT","['Missoula County, MT']","Missoula, MT"
"Mobile, AL","['Mobile County, AL', 'Washington County, AL']","Mobile, AL"
"Lake Havasu City-Kingman, AZ","['Mohave County, AZ']","Lake Havasu City-Kingman, AZ"
"Morgantown, WV","['Monongalia County, WV', 'Preston County, WV']","Morgantown, WV"
"Bloomington, IN","['Monroe County, IN', 'Owen County, IN']","Bloomington, IN"
"Monroe, MI","['Monroe County, MI']","Monroe, MI"
"East Stroudsburg, PA","['Monroe County, PA']","East Stroudsburg, PA"
"Salinas, CA","['Monterey County, CA']","Salinas, CA"
"Monroe, LA","['Morehouse County, LA', 'Ouachita County, LA', 'Union County, LA']","Monroe, LA"
"Dalton, GA","['Murray County, GA', 'Whitfield County, GA']","Dalton, GA"
"Muskegon, MI","['Muskegon County, MI']","Muskegon, MI"
"Napa, CA","['Napa County, CA']","Napa, CA"
"Casper, WY","['Natrona County, WY']","Casper, WY"
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","['New Castle County, DE', 'Cecil County, MD', 'Burlington County, NJ', 'Camden County, NJ', 'Gloucester County, NJ', 'Salem County, NJ', 'Bucks County, PA', 'Chester County, PA', 'Delaware County, PA', 'Montgomery County, PA', 'Philadelphia County, PA']","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
"Wilmington, NC","['New Hanover County, NC', 'Pender County, NC']","Wilmington, NC"
"New Haven-Milford, CT","['New Haven County, CT']","New Haven-Milford, CT"
"Norwich-New London, CT","['New London County, CT']","Norwich-New London, CT"
"Lewiston, ID-WA","['Nez Perce County, ID', 'Asotin County, WA']","Lewiston, ID-WA"
"Corpus Christi, TX","['Nueces County, TX', 'San Patricio County, TX']","Corpus Christi, TX"
"Crestview-Fort Walton Beach-Destin, FL","['Okaloosa County, FL', 'Walton County, FL']","Crestview-Fort Walton Beach-Destin, FL"
"Jacksonville, NC","['Onslow County, NC']","Jacksonville, NC"
"Bangor, ME","['Penobscot County, ME']","Bangor, ME"
"Tucson, AZ","['Pima County, AZ']","Tucson, AZ"
"Greenville, NC","['Pitt County, NC']","Greenville, NC"
"Lakeland-Winter Haven, FL","['Polk County, FL']","Lakeland-Winter Haven, FL"
"Grand Forks, ND-MN","['Polk County, MN', 'Grand Forks County, ND']","Grand Forks, ND-MN"
"Akron, OH","['Portage County, OH', 'Summit County, OH']","Akron, OH"
"Evansville, IN-KY","['Posey County, IN', 'Vanderburgh County, IN', 'Warrick County, IN', 'Henderson County, KY']","Evansville, IN-KY"
"Pueblo, CO","['Pueblo County, CO']","Pueblo, CO"
"Racine, WI","['Racine County, WI']","Racine, WI"
"Mansfield, OH","['Richland County, OH']","Mansfield, OH"
"Riverside-San Bernardino-Ontario, CA","['Riverside County, CA', 'San Bernardino County, CA']","Riverside-San Bernardino-Ontario, CA"
"Janesville-Beloit, WI","['Rock County, WI']","Janesville-Beloit, WI"
"Harrisonburg, VA","['Rockingham County, VA', 'Harrisonburg, VA']","Harrisonburg, VA"
"Columbus, GA-AL","['Russell County, AL', 'Chattahoochee County, GA', 'Harris County, GA', 'Marion County, GA', 'Muscogee County, GA', 'Stewart County, GA', 'Talbot County, GA']","Columbus, GA-AL"
"Saginaw, MI","['Saginaw County, MI']","Saginaw, MI"
"Salt Lake City, UT","['Salt Lake County, UT', 'Tooele County, UT']","Salt Lake City, UT"
"San Jose-Sunnyvale-Santa Clara, CA","['San Benito County, CA', 'Santa Clara County, CA']","San Jose-Sunnyvale-Santa Clara, CA"
"San Diego-Chula Vista-Carlsbad, CA","['San Diego County, CA']","San Diego-Chula Vista-Carlsbad, CA"
"Stockton, CA","['San Joaquin County, CA']","Stockton, CA"
"Farmington, NM","['San Juan County, NM']","Farmington, NM"
"San Luis Obispo-Paso Robles, CA","['San Luis Obispo County, CA']","San Luis Obispo-Paso Robles, CA"
"Santa Maria-Santa Barbara, CA","['Santa Barbara County, CA']","Santa Maria-Santa Barbara, CA"
"Santa Cruz-Watsonville, CA","['Santa Cruz County, CA']","Santa Cruz-Watsonville, CA"
"Santa Fe, NM","['Santa Fe County, NM']","Santa Fe, NM"
"Redding, CA","['Shasta County, CA']","Redding, CA"
"Sheboygan, WI","['Sheboygan County, WI']","Sheboygan, WI"
"Mount Vernon-Anacortes, WA","['Skagit County, WA']","Mount Vernon-Anacortes, WA"
"Tyler, TX","['Smith County, TX']","Tyler, TX"
"Vallejo, CA","['Solano County, CA']","Vallejo, CA"
"Santa Rosa-Petaluma, CA","['Sonoma County, CA']","Santa Rosa-Petaluma, CA"
"Spartanburg, SC","['Spartanburg County, SC']","Spartanburg, SC"
"Spokane-Spokane Valley, WA","['Spokane County, WA', 'Stevens County, WA']","Spokane-Spokane Valley, WA"
"South Bend-Mishawaka, IN-MI","['St. Joseph County, IN', 'Cass County, MI']","South Bend-Mishawaka, IN-MI"
"Modesto, CA","['Stanislaus County, CA']","Modesto, CA"
"Reno, NV","['Storey County, NV', 'Washoe County, NV']","Reno, NV"
"The Villages, FL","['Sumter County, FL']","The Villages, FL"
"Salisbury, MD-DE","['Sussex County, DE', 'Somerset County, MD', 'Wicomico County, MD', 'Worcester County, MD']","Salisbury, MD-DE"
"Yuba City, CA","['Sutter County, CA', 'Yuba County, CA']","Yuba City, CA"
"Hammond, LA","['Tangipahoa County, LA']","Hammond, LA"
"Olympia-Lacey-Tumwater, WA","['Thurston County, WA']","Olympia-Lacey-Tumwater, WA"
"Ithaca, NY","['Tompkins County, NY']","Ithaca, NY"
"Visalia, CA","['Tulare County, CA']","Visalia, CA"
"Kingston, NY","['Ulster County, NY']","Kingston, NY"
"Oxnard-Thousand Oaks-Ventura, CA","['Ventura County, CA']","Oxnard-Thousand Oaks-Ventura, CA"
"Danville, IL","['Vermilion County, IL']","Danville, IL"
"Walla Walla, WA","['Walla Walla County, WA']","Walla Walla, WA"
"Allentown-Bethlehem-Easton, PA-NJ","['Warren County, NJ', 'Carbon County, PA', 'Lehigh County, PA', 'Northampton County, PA']","Allentown-Bethlehem-Easton, PA-NJ"
"Glens Falls, NY","['Warren County, NY', 'Washington County, NY']","Glens Falls, NY"
"Hagerstown-Martinsburg, MD-WV","['Washington County, MD', 'Berkeley County, WV', 'Morgan County, WV']","Hagerstown-Martinsburg, MD-WV"
"St. George, UT","['Washington County, UT']","St. George, UT"
"Ann Arbor, MI","['Washtenaw County, MI']","Ann Arbor, MI"
"Goldsboro, NC","['Wayne County, NC']","Goldsboro, NC"
"Laredo, TX","['Webb County, TX']","Laredo, TX"
"Greeley, CO","['Weld County, CO']","Greeley, CO"
"Bellingham, WA","['Whatcom County, WA']","Bellingham, WA"
"Worcester, MA-CT","['Windham County, CT', 'Worcester County, MA']","Worcester, MA-CT"
"Oshkosh-Neenah, WI","['Winnebago County, WI']","Oshkosh-Neenah, WI"
"Parkersburg-Vienna, WV","['Wirt County, WV', 'Wood County, WV']","Parkersburg-Vienna, WV"
"Sioux City, IA-NE-SD","['Woodbury County, IA', 'Dakota County, NE', 'Dixon County, NE', 'Union County, SD']","Sioux City, IA-NE-SD"
"Yakima, WA","['Yakima County, WA']","Yakima, WA"
"Prescott Valley-Prescott, AZ","['Yavapai County, AZ']","Prescott Valley-Prescott, AZ"
"York-Hanover, PA","['York County, PA']","York-Hanover, PA"
"Yuma, AZ","['Yuma County, AZ']","Yuma, AZ"
