Geographic Area Name,Total!!Estimate!!Households,Median income (dollars)!!Estimate!!Households
"Abilene, TX",60343,44249
"Aguadilla-Isabela, PR",109620,15681
"Akron, OH",281752,50776
"Albany, GA",58250,36805
"Albany, OR",44942,44965
"Albany-Schenectady-Troy, NY",347401,61841
"Albuquerque, NM",344168,48875
"Alexandria, LA",54908,41032
"Allentown-Bethlehem-Easton, PA-NJ",313786,58681
"Altoona, PA",50948,43871
"Amarillo, TX",95576,49553
"Ames, IA",35666,51270
"Anchorage, AK",136268,76453
"Ann Arbor, MI",136471,60805
"Anniston-Oxford-Jacksonville, AL",45348,40919
"Appleton, WI",88750,60413
"Arecibo, PR",67223,17566
"Asheville, NC",181793,44820
"Athens-Clarke County, GA",68975,41624
"Atlanta-Sandy Springs-Roswell, GA",1936823,56618
"Atlantic City-Hammonton, NJ",101166,54392
"Auburn-Opelika, AL",56637,43641
"Augusta-Richmond County, GA-SC",208736,46144
"Austin-Round Rock, TX",673901,61900
"Bakersfield, CA",257737,48574
"Baltimore-Columbia-Towson, MD",1032863,70311
"Bangor, ME",62215,44543
"Barnstable Town, MA",94371,61597
"Baton Rouge, LA",299156,51829
"Battle Creek, MI",52842,43199
"Bay City, MI",43712,45715
"Beaumont-Port Arthur, TX",149713,44845
"Beckley, WV",48730,38606
"Bellingham, WA",79837,53025
"Bend-Redmond, OR",64917,49584
"Billings, MT",66009,51481
"Binghamton, NY",99616,48290
"Birmingham-Hoover, AL",435724,48438
"Bismarck, ND",49468,62375
"Blacksburg-Christiansburg-Radford, VA",68600,44564
"Bloomington, IL",71161,61173
"Bloomington, IN",62317,42416
"Bloomsburg-Berwick, PA",33793,47909
"Boise City, ID",232248,50776
"Boston-Cambridge-Newton, MA-NH",1764845,74494
"Boulder, CO",121526,69407
"Bowling Green, KY",62821,43396
"Bremerton-Silverdale, WA",97993,62473
"Bridgeport-Stamford-Norwalk, CT",333502,83163
"Brownsville-Harlingen, TX",119695,33390
"Brunswick, GA",43257,44055
"Buffalo-Cheektowaga-Niagara Falls, NY",470035,50726
"Burlington, NC",61046,42592
"Burlington-South Burlington, VT",84818,62175
"California-Lexington Park, MD",37947,88190
"Canton-Massillon, OH",160678,46233
"Cape Coral-Fort Myers, FL",246061,47908
"Cape Girardeau, MO-IL",37288,42889
"Carbondale-Marion, IL",50229,39227
"Carson City, NV",21225,50108
"Casper, WY",31790,56769
"Cedar Rapids, IA",105376,59000
"Chambersburg-Waynesboro, PA",58298,53394
"Champaign-Urbana, IL",91858,48182
"Charleston, WV",95619,45692
"Charleston-North Charleston, SC",264864,52517
"Charlotte-Concord-Gastonia, NC-SC",857926,52591
"Charlottesville, VA",85076,59189
"Chattanooga, TN-GA",209002,46228
"Cheyenne, WY",37364,58324
"Chicago-Naperville-Elgin, IL-IN-WI",3438560,61497
"Chico, CA",85215,43165
"Cincinnati, OH-KY-IN",817460,55204
"Clarksville, TN-KY",96607,46653
"Cleveland, TN",44442,41301
"Cleveland-Elyria, OH",846647,49551
"Coeur d'Alene, ID",55807,49292
"College Station-Bryan, TX",84436,39915
"Colorado Springs, CO",249765,57735
"Columbia, MO",66136,49059
"Columbia, SC",296439,49238
"Columbus, GA-AL",111394,42278
"Columbus, IN",30516,54488
"Columbus, OH",748544,55115
"Corpus Christi, TX",157629,49359
"Corvallis, OR",33376,49338
"Crestview-Fort Walton Beach-Destin, FL",96293,53083
"Cumberland, MD-WV",39638,37276
"Dallas-Fort Worth-Arlington, TX",2370055,59175
"Dalton, GA",48754,38818
"Danville, IL",31601,42548
"Daphne-Fairhope-Foley, AL",73058,50183
"Davenport-Moline-Rock Island, IA-IL",154591,51263
"Dayton, OH",327391,47162
"Decatur, AL",59168,44273
"Decatur, IL",45153,46696
"Deltona-Daytona Beach-Ormond Beach, FL",233031,42571
"Denver-Aurora-Lakewood, CO",1025246,64206
"Des Moines-West Des Moines, IA",229824,61640
"Detroit-Warren-Dearborn, MI",1656829,52305
"Dothan, AL",57262,40515
"Dover, DE",59142,55169
"Dubuque, IA",37720,53410
"Duluth, MN-WI",117173,47574
"Durham-Chapel Hill, NC",206783,52925
"East Stroudsburg, PA",57661,57748
"Eau Claire, WI",64715,49537
"El Centro, CA",46952,41772
"Elizabethtown-Fort Knox, KY",55806,48617
"Elkhart-Goshen, IN",70427,46983
"Elmira, NY",35390,49685
"El Paso, TX",258622,40699
"Erie, PA",109700,45703
"Eugene, OR",145627,43685
"Evansville, IN-KY",126093,47425
"Fairbanks, AK",35844,70408
"Fargo, ND-MN",89558,53634
"Farmington, NM",40693,48824
"Fayetteville, NC",138822,44692
"Fayetteville-Springdale-Rogers, AR-MO",178008,48627
"Flagstaff, AZ",46391,48540
"Flint, MI",165962,41879
"Florence, SC",78061,40673
"Florence-Muscle Shoals, AL",61133,41919
"Fond du Lac, WI",41290,54529
"Fort Collins, CO",122743,58844
"Fort Smith, AR-OK",106691,38833
"Fort Wayne, IN",163427,49607
"Fresno, CA",292550,45201
"Gadsden, AL",40001,38467
"Gainesville, FL",102411,41961
"Gainesville, GA",61361,51036
"Gettysburg, PA",37956,60068
"Glens Falls, NY",51864,54112
"Goldsboro, NC",47480,41172
"Grand Forks, ND-MN",40687,48396
"Grand Island, NE",31918,50237
"Grand Junction, CO",58966,48610
"Grand Rapids-Wyoming, MI",372118,53187
"Grants Pass, OR",34187,37447
"Great Falls, MT",33685,45091
"Greeley, CO",92369,58100
"Green Bay, WI",123271,53053
"Greensboro-High Point, NC",290505,43670
"Greenville, NC",66427,42011
"Greenville-Anderson-Mauldin, SC",320027,45428
"Guayama, PR",28080,16010
"Gulfport-Biloxi-Pascagoula, MS",143170,44826
"Hagerstown-Martinsburg, MD-WV",96383,55868
"Hammond, LA",45027,40721
"Hanford-Corcoran, CA",41108,47341
"Harrisburg-Carlisle, PA",222939,57461
"Harrisonburg, VA",45364,48518
"Hartford-West Hartford-East Hartford, CT",469020,68959
"Hattiesburg, MS",53626,41702
"Hickory-Lenoir-Morganton, NC",138096,40820
"Hilton Head Island-Bluffton-Beaufort, SC",73803,53863
"Hinesville, GA",27941,44133
"Homosassa Springs, FL",60670,38109
"Hot Springs, AR",39876,39558
"Houma-Thibodaux, LA",74964,50138
"Houston-The Woodlands-Sugar Land, TX",2112447,58689
"Huntington-Ashland, WV-KY-OH",143943,42448
"Huntsville, AL",167565,55881
"Idaho Falls, ID",45605,50987
"Indianapolis-Carmel-Anderson, IN",734934,52434
"Iowa City, IA",63906,55030
"Ithaca, NY",38340,52836
"Jackson, MI",60485,45452
"Jackson, MS",206923,45366
"Jackson, TN",47768,41346
"Jacksonville, FL",516599,52067
"Jacksonville, NC",61147,46141
"Janesville-Beloit, WI",63385,49645
"Jefferson City, MO",56404,51025
"Johnson City, TN",83999,39084
"Johnstown, PA",57959,42304
"Jonesboro, AR",47395,40358
"Joplin, MO",67433,41562
"Kahului-Wailuku-Lahaina, HI",53177,64563
"Kalamazoo-Portage, MI",128220,46392
"Kankakee, IL",41430,51000
"Kansas City, MO-KS",792793,57056
"Kennewick-Richland, WA",90832,59476
"Killeen-Temple, TX",135062,50671
"Kingsport-Bristol-Bristol, TN-VA",129662,39178
"Kingston, NY",69388,58592
"Knoxville, TN",340980,44906
"Kokomo, IN",34386,42078
"La Crosse-Onalaska, WI-MN",54165,51160
"Lafayette, LA",177280,47174
"Lafayette-West Lafayette, IN",78213,45364
"Lake Charles, LA",77334,44644
"Lake Havasu City-Kingman, AZ",80529,38456
"Lakeland-Winter Haven, FL",220556,43063
"Lancaster, PA",194503,57120
"Lansing-East Lansing, MI",181936,50155
"Laredo, TX",68502,38679
"Las Cruces, NM",74623,38426
"Las Vegas-Henderson-Paradise, NV",715415,52070
"Lawrence, KS",43834,50732
"Lawton, OK",46524,46283
"Lebanon, PA",51793,56173
"Lewiston, ID-WA",25564,44993
"Lewiston-Auburn, ME",44391,45765
"Lexington-Fayette, KY",192393,49997
"Lima, OH",40191,43648
"Lincoln, NE",122757,52291
"Little Rock-North Little Rock-Conway, AR",274285,49179
"Logan, UT-ID",39746,49915
"Longview, TX",77524,46615
"Longview, WA",39765,46571
"Los Angeles-Long Beach-Anaheim, CA",4244676,60337
"Louisville/Jefferson County, KY-IN",491885,50386
"Lubbock, TX",111251,45337
"Lynchburg, VA",98815,46913
"Macon, GA",84303,39609
"Madera, CA",42723,45490
"Madison, WI",255724,61227
"Manchester-Nashua, NH",154236,70906
"Manhattan, KS",34271,48097
"Mankato-North Mankato, MN",37129,54112
"Mansfield, OH",48211,42042
"Mayagüez, PR",36970,16333
"McAllen-Edinburg-Mission, TX",221150,34952
"Medford, OR",82977,44086
"Memphis, TN-MS-AR",489161,47647
"Merced, CA",76516,43066
"Miami-Fort Lauderdale-West Palm Beach, FL",2030848,48435
"Michigan City-La Porte, IN",42756,47117
"Midland, MI",33709,52613
"Midland, TX",53172,66689
"Milwaukee-Waukesha-West Allis, WI",622201,53628
"Minneapolis-St. Paul-Bloomington, MN-WI",1323355,68019
"Missoula, MT",45961,47029
"Mobile, AL",154400,43844
"Modesto, CA",168090,49573
"Monroe, LA",66444,38406
"Monroe, MI",58328,54911
"Montgomery, AL",142351,46977
"Morgantown, WV",49467,46028
"Morristown, TN",44380,39822
"Mount Vernon-Anacortes, WA",45309,54917
"Muncie, IN",46239,37900
"Muskegon, MI",64889,41842
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",164095,43681
"Napa, CA",49631,70925
"Naples-Immokalee-Marco Island, FL",126331,56250
"Nashville-Davidson--Murfreesboro--Franklin, TN",654063,52805
"New Bern, NC",49188,46173
"New Haven-Milford, CT",327086,61646
"New Orleans-Metairie, LA",470837,47412
"New York-Newark-Jersey City, NY-NJ-PA",7105003,66902
"Niles-Benton Harbor, MI",60320,44701
"North Port-Sarasota-Bradenton, FL",306165,49875
"Norwich-New London, CT",106882,66693
"Ocala, FL",133137,39339
"Ocean City, NJ",41069,57394
"Odessa, TX",50214,54903
"Ogden-Clearfield, UT",195735,63393
"Oklahoma City, OK",490013,50967
"Olympia-Tumwater, WA",101530,62286
"Omaha-Council Bluffs, NE-IA",340906,57357
"Orlando-Kissimmee-Sanford, FL",779612,48559
"Oshkosh-Neenah, WI",68484,51949
"Owensboro, KY",45111,45639
"Oxnard-Thousand Oaks-Ventura, CA",267829,77335
"Palm Bay-Melbourne-Titusville, FL",221582,48483
"Panama City, FL",72769,46742
"Parkersburg-Vienna, WV",38325,42223
"Pensacola-Ferry Pass-Brent, FL",169978,49255
"Peoria, IL",152051,54686
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2229039,62169
"Phoenix-Mesa-Scottsdale, AZ",1550372,53310
"Pine Bluff, AR",35953,36856
"Pittsburgh, PA",989655,51883
"Pittsfield, MA",55369,49737
"Pocatello, ID",30277,43953
"Ponce, PR",111021,16593
"Portland-South Portland, ME",214107,58000
"Portland-Vancouver-Hillsboro, OR-WA",878078,58832
"Port St. Lucie, FL",167932,45752
"Prescott, AZ",91508,44000
"Providence-Warwick, RI-MA",620570,56267
"Provo-Orem, UT",148535,60647
"Pueblo, CO",62829,41974
"Punta Gorda, FL",70948,44265
"Racine, WI",75078,55055
"Raleigh, NC",440375,62794
"Rapid City, SD",55079,51041
"Reading, PA",153857,55798
"Redding, CA",68961,44556
"Reno, NV",166284,53047
"Richmond, VA",463593,59677
"Riverside-San Bernardino-Ontario, CA",1297992,55362
"Roanoke, VA",128965,50056
"Rochester, MN",82643,64210
"Rochester, NY",429370,52717
"Rockford, IL",131715,49511
"Rocky Mount, NC",58146,39763
"Rome, GA",34794,41046
"Sacramento--Roseville--Arden-Arcade, CA",791744,59439
"Saginaw, MI",77589,43566
"St. Cloud, MN",72216,54985
"St. George, UT",47905,49498
"St. Joseph, MO-KS",46985,46145
"St. Louis, MO-IL",1104257,54959
"Salem, OR",142136,48433
"Salinas, CA",125115,58582
"Salisbury, MD-DE",143830,53004
"Salt Lake City, UT",366510,61529
"San Angelo, TX",42986,45258
"San Antonio-New Braunfels, TX",771789,52786
"San Diego-Carlsbad, CA",1083811,63996
"San Francisco-Oakland-Hayward, CA",1642466,80008
"San Germán, PR",44202,15389
"San Jose-Sunnyvale-Santa Clara, CA",631835,92960
"San Juan-Carolina-Caguas, PR",792764,22254
"San Luis Obispo-Paso Robles-Arroyo Grande, CA",102350,59454
"Santa Cruz-Watsonville, CA",94219,66923
"Santa Fe, NM",61313,52958
"Santa Maria-Santa Barbara, CA",142028,63409
"Santa Rosa, CA",186935,63799
"Savannah, GA",132980,50560
"Scranton--Wilkes-Barre--Hazleton, PA",225565,45812
"Seattle-Tacoma-Bellevue, WA",1381607,68969
"Sebastian-Vero Beach, FL",57342,44645
"Sebring, FL",39882,35911
"Sheboygan, WI",46433,53029
"Sherman-Denison, TX",46747,47631
"Shreveport-Bossier City, LA",170715,43779
"Sierra Vista-Douglas, AZ",48846,45974
"Sioux City, IA-NE-SD",64174,49843
"Sioux Falls, SD",92241,57356
"South Bend-Mishawaka, IN-MI",121563,45036
"Spartanburg, SC",120122,42588
"Spokane-Spokane Valley, WA",211284,49417
"Springfield, IL",88221,55842
"Springfield, MA",236512,52546
"Springfield, MO",177468,42880
"Springfield, OH",54969,43011
"State College, PA",57283,50295
"Staunton-Waynesboro, VA",47505,49262
"Stockton-Lodi, CA",217343,53253
"Sumter, SC",40024,40662
"Syracuse, NY",256796,53191
"Tallahassee, FL",143932,45377
"Tampa-St. Petersburg-Clearwater, FL",1134997,46706
"Terre Haute, IN",64201,42780
"Texarkana, TX-AR",55953,41818
"The Villages, FL",45868,49874
"Toledo, OH",244015,44775
"Topeka, KS",94100,50797
"Trenton, NJ",131475,74118
"Tucson, AZ",386155,46233
"Tulsa, OK",369720,49255
"Tuscaloosa, AL",81775,43567
"Tyler, TX",79089,46669
"Urban Honolulu, HI",310141,73581
"Utica-Rome, NY",117404,48094
"Valdosta, GA",51439,36289
"Vallejo-Fairfield, CA",142521,67341
"Victoria, TX",35185,50549
"Vineland-Bridgeton, NJ",50399,50603
"Virginia Beach-Norfolk-Newport News, VA-NC",626974,59244
"Visalia-Porterville, CA",132706,42863
"Waco, TX",91389,41876
"Walla Walla, WA",23404,47309
"Warner Robins, GA",66389,51404
"Washington-Arlington-Alexandria, DC-VA-MD-WV",2112551,91756
"Waterloo-Cedar Falls, IA",66846,49897
"Watertown-Fort Drum, NY",44822,48613
"Wausau, WI",53392,53779
"Weirton-Steubenville, WV-OH",51232,40973
"Wenatchee, WA",41323,51547
"Wheeling, WV-OH",60436,41919
"Wichita, KS",241831,51059
"Wichita Falls, TX",55317,45892
"Williamsport, PA",46008,45877
"Wilmington, NC",107330,48581
"Winchester, VA-WV",50504,51872
"Winston-Salem, NC",256301,44589
"Worcester, MA-CT",344842,64629
"Yakima, WA",79717,43956
"York-Hanover, PA",168278,58906
"Youngstown-Warren-Boardman, OH-PA",230317,42543
"Yuba City, CA",56435,48546
"Yuma, AZ",69915,41380
