Geographic Area Name,Geography,Estimate!!Total,"Estimate!!Total!!Car, truck, or van","Estimate!!Total!!Car, truck, or van!!Drove alone","Estimate!!Total!!Car, truck, or van!!Carpooled","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 2-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 3-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 4-or-more-person carpool",Estimate!!Total!!Public transportation (excluding taxicab),Estimate!!Total!!Public transportation (excluding taxicab)!!Bus or trolley bus,Estimate!!Total!!Public transportation (excluding taxicab)!!Streetcar or trolley car (carro publico in Puerto Rico),Estimate!!Total!!Public transportation (excluding taxicab)!!Subway or elevated,Estimate!!Total!!Public transportation (excluding taxicab)!!Railroad,Estimate!!Total!!Public transportation (excluding taxicab)!!Ferryboat,Estimate!!Total!!Bicycle,Estimate!!Total!!Walked,"Estimate!!Total!!Taxicab, motorcycle, or other means",Estimate!!Total!!Worked at home
"Abilene, TX",310M200US10180,72274,66762,58286,8476,6553,970,953,464,464,0,0,0,0,151,1737,1275,1885
"Aguadilla-Isabela, PR",310M200US10380,77004,71260,64807,6453,4137,1415,901,275,93,150,32,0,0,144,3251,305,1769
"Akron, OH",310M200US10420,329396,306252,284185,22067,18215,2208,1644,4934,4907,11,12,4,0,437,5550,1656,10567
"Albany, GA",310M200US10500,59078,54802,47511,7291,5387,1270,634,636,636,0,0,0,0,88,1159,469,1924
"Albany, OR",310M200US10540,47276,41872,36575,5297,4060,684,553,276,233,0,2,31,10,626,1089,526,2887
"Albany-Schenectady-Troy, NY",310M200US10580,427887,377251,344331,32920,28567,2974,1379,13761,13002,12,433,300,14,1001,15762,4156,15956
"Albuquerque, NM",310M200US10740,395683,354097,316438,37659,28984,5541,3134,7174,5710,26,79,1346,13,3884,7413,5529,17586
"Alexandria, LA",310M200US10780,58324,54301,48897,5404,4212,608,584,906,804,63,0,0,39,166,996,862,1093
"Allentown-Bethlehem-Easton, PA-NJ",310M200US10900,382952,347280,313093,34187,27057,4254,2876,6547,6009,13,260,179,86,933,10015,3010,15167
"Altoona, PA",310M200US11020,56627,51975,46733,5242,4175,684,383,204,186,0,18,0,0,74,2085,778,1511
"Amarillo, TX",310M200US11100,120257,112667,97259,15408,10825,2712,1871,880,861,0,19,0,0,364,1902,1008,3436
"Ames, IA",310M200US11180,48348,39005,35055,3950,3374,311,265,2990,2990,0,0,0,0,987,3349,324,1693
"Anchorage, AK",310M200US11260,194870,169283,145154,24129,19303,2562,2264,3341,3289,40,12,0,0,2057,5394,6632,8163
"Ann Arbor, MI",310M200US11460,169545,137149,124255,12894,10082,1591,1221,8535,8474,0,33,19,9,3048,10656,1111,9046
"Anniston-Oxford-Jacksonville, AL",310M200US11500,45348,42911,38750,4161,3288,587,286,117,85,0,0,21,11,48,617,571,1084
"Appleton, WI",310M200US11540,119320,109618,101288,8330,6386,1314,630,755,749,0,0,6,0,704,2563,1158,4522
"Arecibo, PR",310M200US11640,50486,47733,44290,3443,2388,735,320,172,36,107,22,0,7,46,1609,153,773
"Asheville, NC",310M200US11700,190333,171300,153084,18216,14157,2737,1322,973,890,0,15,0,68,587,4254,1524,11695
"Athens-Clarke County, GA",310M200US12020,84671,74896,67005,7891,6098,1135,658,1576,1534,12,23,0,7,848,2627,1190,3534
"Atlanta-Sandy Springs-Roswell, GA",310M200US12060,2476395,2184460,1928098,256362,190452,37201,28709,76484,55048,897,17662,2710,167,4552,33785,32778,144336
"Atlantic City-Hammonton, NJ",310M200US12100,124139,105016,95032,9984,8088,1046,850,9034,8456,17,54,507,0,692,4501,2364,2532
"Auburn-Opelika, AL",310M200US12220,66091,61059,55329,5730,4729,682,319,615,578,25,12,0,0,384,1590,605,1838
"Augusta-Richmond County, GA-SC",310M200US12260,237817,223652,198826,24826,18851,3815,2160,1509,1416,0,38,55,0,546,4322,2333,5455
"Austin-Round Rock, TX",310M200US12420,917620,794276,697542,96734,73008,13804,9922,22099,20754,146,229,959,11,7427,16972,13539,63307
"Bakersfield, CA",310M200US12540,312996,286691,240314,46377,29637,7464,9276,3294,3186,11,8,52,37,1672,5524,6518,9297
"Baltimore-Columbia-Towson, MD",310M200US12580,1346552,1153430,1033347,120083,96309,13419,10355,86176,59586,1324,12852,12273,141,3681,35219,13587,54459
"Bangor, ME",310M200US12620,71554,64321,57432,6889,5696,723,470,434,419,15,0,0,0,303,2797,966,2733
"Barnstable Town, MA",310M200US12700,98805,88287,81902,6385,4925,912,548,1473,1024,8,199,98,144,498,2665,749,5133
"Baton Rouge, LA",310M200US12940,371002,346912,310986,35926,27552,4788,3586,3933,3822,25,38,0,48,1068,6136,3491,9462
"Battle Creek, MI",310M200US12980,55633,51076,45123,5953,4745,681,527,347,341,0,0,0,6,166,2000,484,1560
"Bay City, MI",310M200US13020,45099,42271,38730,3541,2700,541,300,302,302,0,0,0,0,217,871,291,1147
"Beaumont-Port Arthur, TX",310M200US13140,163555,155692,140518,15174,11555,2218,1401,816,753,49,14,0,0,331,1917,1755,3044
"Beckley, WV",310M200US13220,44091,40800,36613,4187,3257,552,378,18,18,0,0,0,0,35,1125,1029,1084
"Bellingham, WA",310M200US13380,95296,79217,70707,8510,6403,1082,1025,2666,2634,0,23,0,9,1584,4585,1216,6028
"Bend-Redmond, OR",310M200US13460,69913,59901,53415,6486,5214,557,715,445,430,0,0,15,0,1222,1910,818,5617
"Billings, MT",310M200US13740,82421,74296,65291,9005,7239,940,826,821,821,0,0,0,0,574,2637,778,3315
"Binghamton, NY",310M200US13780,109904,98084,88176,9908,8122,1021,765,2839,2688,4,127,11,9,353,3850,924,3854
"Birmingham-Hoover, AL",310M200US13820,490678,464095,418269,45826,36720,5644,3462,3088,3004,0,26,25,33,465,5130,3619,14281
"Bismarck, ND",310M200US13900,65297,60212,52829,7383,4878,1325,1180,76,76,0,0,0,0,347,1298,310,3054
"Blacksburg-Christiansburg-Radford, VA",310M200US13980,80663,70333,62194,8139,6644,1071,424,2011,1950,0,31,15,15,625,3159,1028,3507
"Bloomington, IL",310M200US14010,96341,85810,77026,8784,6996,1293,495,1749,1712,0,5,32,0,454,4368,1073,2887
"Bloomington, IN",310M200US14020,75300,61109,53348,7761,6259,984,518,3026,2987,0,35,0,4,2005,5853,404,2903
"Bloomsburg-Berwick, PA",310M200US14100,38802,34993,31779,3214,2622,331,261,233,229,0,4,0,0,59,1858,181,1478
"Boise City, ID",310M200US14260,283055,248426,224177,24249,18291,3503,2455,1172,1134,22,12,0,4,3831,5523,4424,19679
"Boston-Cambridge-Newton, MA-NH",310M200US14460,2362298,1792765,1618612,174153,139230,19894,15029,290720,95900,7530,137800,47238,2252,21171,125001,22820,109821
"Boulder, CO",310M200US14500,158990,116496,103115,13381,10493,1533,1355,8604,8449,35,22,73,25,6678,7836,2196,17180
"Bowling Green, KY",310M200US14540,71799,66686,58916,7770,5607,1163,1000,224,224,0,0,0,0,111,2065,835,1878
"Bremerton-Silverdale, WA",310M200US14740,116435,90911,80302,10609,7948,1362,1299,10036,3331,0,0,42,6663,628,5369,1711,7780
"Bridgeport-Stamford-Norwalk, CT",310M200US14860,445551,362113,324499,37614,28450,5164,4000,41800,12038,85,1544,28070,63,1279,12076,3980,24303
"Brownsville-Harlingen, TX",310M200US15180,142950,132811,116372,16439,12140,2726,1573,980,950,18,12,0,0,242,2656,2673,3588
"Brunswick, GA",310M200US15260,46004,42245,37691,4554,3752,580,222,254,254,0,0,0,0,103,645,786,1971
"Buffalo-Cheektowaga-Niagara Falls, NY",310M200US15380,525371,472942,432072,40870,33371,4712,2787,17069,15559,205,1278,18,9,2142,15303,5046,12869
"Burlington, NC",310M200US15500,68462,63997,56298,7699,5750,1093,856,190,182,0,8,0,0,7,822,856,2590
"Burlington-South Burlington, VT",310M200US15540,113843,94852,83674,11178,9618,1030,530,2323,2251,0,47,11,14,1780,7283,708,6897
"California-Lexington Park, MD",310M200US15680,54395,50077,45707,4370,3704,423,243,1242,1176,0,66,0,0,144,1199,318,1415
"Canton-Massillon, OH",310M200US15940,180821,169579,154442,15137,12219,1793,1125,1811,1720,61,0,30,0,229,2892,1003,5307
"Cape Coral-Fort Myers, FL",310M200US15980,248988,221887,194947,26940,20462,3765,2713,2833,2699,67,42,25,0,2283,2277,5717,13991
"Cape Girardeau, MO-IL",310M200US16020,43498,40790,36097,4693,3745,603,345,204,160,8,0,0,36,113,1004,581,806
"Carbondale-Marion, IL",310M200US16060,53749,48382,43524,4858,3609,691,558,374,361,0,0,13,0,340,2637,415,1601
"Carson City, NV",310M200US16180,22634,21147,18566,2581,2291,211,79,31,31,0,0,0,0,328,565,139,424
"Casper, WY",310M200US16220,40201,37546,32942,4604,3346,816,442,271,271,0,0,0,0,288,686,257,1153
"Cedar Rapids, IA",310M200US16300,134128,122487,110498,11989,9104,1531,1354,1119,1105,0,14,0,0,508,3385,1339,5290
"Chambersburg-Waynesboro, PA",310M200US16540,69308,64307,57346,6961,4922,1202,837,153,141,0,0,12,0,171,1671,466,2540
"Champaign-Urbana, IL",310M200US16580,113956,89646,79536,10110,8565,865,680,6702,6624,0,14,60,4,2694,8465,559,5890
"Charleston, WV",310M200US16620,94258,87132,76069,11063,9257,1306,500,1551,1530,0,10,11,0,218,2612,497,2248
"Charleston-North Charleston, SC",310M200US16700,326159,291938,263144,28794,22375,4297,2122,4806,4708,52,29,13,4,2862,9206,3266,14081
"Charlotte-Concord-Gastonia, NC-SC",310M200US16740,1053699,953159,848688,104471,79617,13797,11057,18949,16158,425,1527,811,28,1658,15072,10730,54131
"Charlottesville, VA",310M200US16820,101614,85818,75691,10127,8122,1339,666,2871,2737,7,97,25,5,854,4265,1372,6434
"Chattanooga, TN-GA",310M200US16860,239312,221479,200560,20919,16425,2882,1612,1481,1404,47,6,0,24,383,4517,2247,9205
"Cheyenne, WY",310M200US16940,47604,43748,39314,4434,3355,720,359,221,221,0,0,0,0,100,1014,812,1709
"Chicago-Naperville-Elgin, IL-IN-WI",310M200US16980,4420384,3504964,3133986,370978,289249,49863,31866,508677,204633,3174,160842,139675,353,28080,140114,47272,191277
"Chico, CA",310M200US17020,85197,72720,63163,9557,7325,1461,771,982,978,0,0,4,0,2382,3042,921,5150
"Cincinnati, OH-KY-IN",310M200US17140,994701,908386,827563,80823,65992,8911,5920,19592,19402,94,40,0,56,1649,21011,6501,37562
"Clarksville, TN-KY",310M200US17300,114849,105456,94527,10929,8352,1556,1021,786,767,0,19,0,0,127,3670,1643,3167
"Cleveland, TN",310M200US17420,48593,45163,41013,4150,3263,507,380,58,58,0,0,0,0,79,1076,696,1521
"Cleveland-Elyria, OH",310M200US17460,944086,847234,778509,68725,55108,7531,6086,30509,27676,556,1728,507,42,3462,20745,8044,34092
"Coeur d'Alene, ID",310M200US17660,61548,55379,50318,5061,3935,821,305,336,307,0,0,20,9,264,1104,647,3818
"College Station-Bryan, TX",310M200US17780,106977,94311,81631,12680,9780,1826,1074,2718,2705,13,0,0,0,1700,4142,1019,3087
"Colorado Springs, CO",310M200US17820,317044,277995,245849,32146,24684,4479,2983,2475,2344,12,10,60,49,1497,12850,3752,18475
"Columbia, MO",310M200US17860,86280,76615,67669,8946,7385,1148,413,680,679,0,1,0,0,866,4026,785,3308
"Columbia, SC",310M200US17900,363061,323504,295689,27815,21542,3805,2468,2552,2488,7,47,4,6,911,11999,8320,15775
"Columbus, GA-AL",310M200US17980,132868,117540,104732,12808,9622,1891,1295,1087,1056,0,23,0,8,404,2088,1736,10013
"Columbus, IN",310M200US18020,37353,34924,31475,3449,2862,329,258,226,226,0,0,0,0,167,675,504,857
"Columbus, OH",310M200US18140,934937,847118,773628,73490,60707,7862,4921,15423,15076,135,83,0,129,4087,20416,7677,40216
"Corpus Christi, TX",310M200US18580,193796,177396,155488,21908,17154,2911,1843,3062,3015,11,17,19,0,534,3806,4110,4888
"Corvallis, OR",310M200US18700,38407,27849,24676,3173,2527,368,278,926,926,0,0,0,0,3095,3305,378,2854
"Crestview-Fort Walton Beach-Destin, FL",310M200US18880,113454,103969,94217,9752,7765,1042,945,631,629,0,2,0,0,510,1559,3203,3582
"Cumberland, MD-WV",310M200US19060,39318,36527,31894,4633,3688,516,429,158,150,0,0,8,0,27,1411,297,898
"Dallas-Fort Worth-Arlington, TX",310M200US19100,3185563,2899645,2577869,321776,246352,47162,28262,46360,31774,930,5183,8299,174,5167,38643,46302,149446
"Dalton, GA",310M200US19140,59242,55945,49628,6317,5203,595,519,212,58,0,0,154,0,135,588,1078,1284
"Danville, IL",310M200US19180,32123,29787,26561,3226,2718,330,178,271,233,0,10,28,0,16,840,289,920
"Daphne-Fairhope-Foley, AL",310M200US19300,82134,77290,69051,8239,5773,1502,964,147,147,0,0,0,0,344,906,749,2698
"Davenport-Moline-Rock Island, IA-IL",310M200US19340,179046,165392,150716,14676,11621,1945,1110,1640,1607,4,10,19,0,564,3609,1831,6010
"Dayton, OH",310M200US19380,354094,323575,294960,28615,23627,3295,1693,5675,5550,24,23,49,29,1115,9015,3044,11670
"Decatur, AL",310M200US19460,63993,61830,56353,5477,4121,1102,254,136,22,0,0,0,114,32,468,321,1206
"Decatur, IL",310M200US19500,47824,44198,40138,4060,3427,390,243,656,656,0,0,0,0,94,1139,553,1184
"Deltona-Daytona Beach-Ormond Beach, FL",310M200US19660,226912,204155,185411,18744,14511,2942,1291,1905,1818,53,7,27,0,1632,3111,4511,11598
"Denver-Aurora-Lakewood, CO",310M200US19740,1339300,1140114,1017871,122243,96611,16203,9429,58771,47735,1396,6729,2806,105,12211,28522,13803,85879
"Des Moines-West Des Moines, IA",310M200US19780,306891,283245,255638,27607,22829,2767,2011,2850,2816,19,0,5,10,753,4994,2081,12968
"Detroit-Warren-Dearborn, MI",310M200US19820,1822604,1691157,1533478,157679,125164,19448,13067,29442,28649,149,473,57,114,4278,23729,14916,59082
"Dothan, AL",310M200US20020,61033,58223,53323,4900,3494,683,723,203,203,0,0,0,0,23,465,814,1305
"Dover, DE",310M200US20100,74485,68697,61707,6990,5444,869,677,894,827,0,60,7,0,156,1418,709,2611
"Dubuque, IA",310M200US20220,49384,44346,40440,3906,3026,435,445,472,464,0,0,8,0,142,2027,316,2081
"Duluth, MN-WI",310M200US20260,129746,115146,102675,12471,10101,1658,712,2450,2435,0,15,0,0,532,5284,1424,4910
"Durham-Chapel Hill, NC",310M200US20500,247205,209405,183305,26100,19484,3575,3041,10385,10307,0,57,21,0,2416,7999,3769,13231
"East Stroudsburg, PA",310M200US20700,73083,64438,57166,7272,6182,721,369,3348,3033,71,105,139,0,38,1598,477,3184
"Eau Claire, WI",310M200US20740,83492,73719,67140,6579,5042,897,640,591,589,0,0,0,2,506,3083,918,4675
"El Centro, CA",310M200US20940,56288,50972,44835,6137,3928,1009,1200,630,630,0,0,0,0,293,1096,1039,2258
"Elizabethtown-Fort Knox, KY",310M200US21060,66811,62172,54843,7329,5226,1170,933,235,226,9,0,0,0,7,1167,759,2471
"Elkhart-Goshen, IN",310M200US21140,88938,82141,70063,12078,9576,1219,1283,442,400,34,0,8,0,1487,1614,1235,2019
"Elmira, NY",310M200US21300,38069,34799,32036,2763,2141,373,249,653,626,0,26,1,0,124,1260,274,959
"El Paso, TX",310M200US21340,331923,300507,263074,37433,28698,5070,3665,5556,5494,0,45,17,0,434,7147,8360,9919
"Erie, PA",310M200US21500,125712,112846,100471,12375,9989,1636,750,2100,2100,0,0,0,0,319,5165,1007,4275
"Eugene, OR",310M200US21660,152607,122935,107698,15237,12647,1738,852,4768,4729,0,0,23,16,6663,7649,1305,9287
"Evansville, IN-KY",310M200US21780,146186,136589,125178,11411,9323,1398,690,1468,1454,11,0,3,0,499,2304,1344,3982
"Fairbanks, AK",310M200US21820,50498,44418,37131,7287,5848,937,502,688,688,0,0,0,0,556,1682,1073,2081
"Fargo, ND-MN",310M200US22020,123238,110776,101106,9670,7302,1281,1087,1399,1343,2,35,0,19,783,4596,1204,4480
"Farmington, NM",310M200US22140,51153,47810,42897,4913,3634,646,633,129,121,8,0,0,0,192,870,524,1628
"Fayetteville, NC",310M200US22180,161191,148517,134256,14261,11016,1974,1271,1193,1156,0,37,0,0,332,4876,1813,4460
"Fayetteville-Springdale-Rogers, AR-MO",310M200US22220,220703,202143,177060,25083,18689,4167,2227,1164,1127,0,21,0,16,612,4807,2239,9738
"Flagstaff, AZ",310M200US22380,63035,50606,43079,7527,5550,962,1015,1222,1185,25,0,12,0,1852,5195,793,3367
"Flint, MI",310M200US22420,154516,145269,131482,13787,10492,1967,1328,1796,1780,9,7,0,0,201,1850,938,4462
"Florence, SC",310M200US22500,81920,76902,69281,7621,5789,841,991,218,212,0,6,0,0,163,1085,776,2776
"Florence-Muscle Shoals, AL",310M200US22520,60270,57855,53059,4796,3693,599,504,145,133,0,1,0,11,83,781,419,987
"Fond du Lac, WI",310M200US22540,51770,47072,42175,4897,4019,473,405,166,158,0,3,3,2,360,1723,534,1915
"Fort Collins, CO",310M200US22660,156205,131797,118549,13248,10329,1987,932,1513,1504,0,0,9,0,6007,4051,1881,10956
"Fort Smith, AR-OK",310M200US22900,113191,107227,95072,12155,9046,1604,1505,309,266,0,30,13,0,121,1722,1142,2670
"Fort Wayne, IN",310M200US23060,193588,179957,164826,15131,11775,1428,1928,1259,1174,57,0,8,20,606,2396,1610,7760
"Fresno, CA",310M200US23420,352667,315626,271552,44074,29164,6320,8590,4458,4307,55,50,32,14,2903,7249,8340,14091
"Gadsden, AL",310M200US23460,39201,37393,33924,3469,2994,269,206,124,115,0,0,0,9,6,141,146,1391
"Gainesville, FL",310M200US23540,118512,99130,87500,11630,9387,1447,796,5064,5037,0,27,0,0,3628,3645,1944,5101
"Gainesville, GA",310M200US23580,80594,74517,63643,10874,7180,2224,1470,223,209,0,0,0,14,45,837,1770,3202
"Gettysburg, PA",310M200US23900,49589,45021,40903,4118,3249,567,302,237,179,0,22,36,0,114,1954,447,1816
"Glens Falls, NY",310M200US24020,58721,52869,47077,5792,4854,660,278,323,246,0,58,19,0,185,1978,550,2816
"Goldsboro, NC",310M200US24140,52570,50060,42870,7190,5141,904,1145,251,242,0,9,0,0,103,648,359,1149
"Grand Forks, ND-MN",310M200US24220,53151,47175,42846,4329,3473,565,291,537,478,39,0,0,20,376,2204,540,2319
"Grand Island, NE",310M200US24260,42252,38703,34052,4651,3392,564,695,368,350,0,18,0,0,201,853,280,1847
"Grand Junction, CO",310M200US24300,66035,58566,51937,6629,5046,852,731,256,256,0,0,0,0,972,1866,1036,3339
"Grand Rapids-Wyoming, MI",310M200US24340,467882,427591,386310,41281,31851,5801,3629,6605,6561,0,14,12,18,2191,9451,3661,18383
"Grants Pass, OR",310M200US24420,27682,24716,22594,2122,1741,250,131,100,79,0,0,11,10,203,580,342,1741
"Great Falls, MT",310M200US24500,38993,35407,31023,4384,3615,517,252,355,355,0,0,0,0,201,1492,277,1261
"Greeley, CO",310M200US24540,123784,111725,97731,13994,10132,1799,2063,765,744,3,5,0,13,740,2766,1533,6255
"Green Bay, WI",310M200US24580,154776,141006,128500,12506,9863,1722,921,1076,1045,2,20,0,9,573,3922,1894,6305
"Greensboro-High Point, NC",310M200US24660,325271,301637,270218,31419,23247,4993,3179,3246,3067,83,40,36,20,473,4775,2586,12554
"Greenville, NC",310M200US24780,79120,73416,65630,7786,5745,1040,1001,826,826,0,0,0,0,294,1866,577,2141
"Greenville-Anderson-Mauldin, SC",310M200US24860,365354,340995,310220,30775,23826,4157,2792,1651,1438,0,59,64,90,510,6798,3698,11702
"Guayama, PR",310M200US25020,18217,16988,14958,2030,1643,267,120,266,103,163,0,0,0,40,517,211,195
"Gulfport-Biloxi-Pascagoula, MS",310M200US25060,163206,152087,134284,17803,13339,2284,2180,1110,1081,0,16,0,13,310,4615,1885,3199
"Hagerstown-Martinsburg, MD-WV",310M200US25180,114184,105586,93956,11630,9267,1331,1032,1332,692,0,114,511,15,126,2004,930,4206
"Hammond, LA",310M200US25220,51298,47143,40634,6509,4778,893,838,268,268,0,0,0,0,162,686,1460,1579
"Hanford-Corcoran, CA",310M200US25260,53699,48931,40884,8047,4691,1278,2078,772,707,15,0,31,19,184,1451,704,1657
"Harrisburg-Carlisle, PA",310M200US25420,270172,244634,219925,24709,19890,3022,1797,4104,3859,5,157,73,10,720,9342,1959,9413
"Harrisonburg, VA",310M200US25500,59638,52214,47109,5105,3969,561,575,822,811,0,0,11,0,437,3012,494,2659
"Hartford-West Hartford-East Hartford, CT",310M200US25540,590061,526519,480105,46414,37441,4972,4001,18479,17588,41,287,529,34,1397,16067,5859,21740
"Hattiesburg, MS",310M200US25620,62608,57257,51456,5801,4280,916,605,243,223,0,9,0,11,412,1273,2260,1163
"Hickory-Lenoir-Morganton, NC",310M200US25860,153169,144905,131231,13674,10951,1642,1081,209,196,8,5,0,0,168,1560,1382,4945
"Hilton Head Island-Bluffton-Beaufort, SC",310M200US25940,84939,74759,64134,10625,7353,2123,1149,351,273,0,12,23,43,665,2133,1812,5219
"Hinesville, GA",310M200US25980,34314,31397,28381,3016,2566,240,210,104,104,0,0,0,0,103,1063,966,681
"Homosassa Springs, FL",310M200US26140,42893,39213,35530,3683,3255,326,102,69,54,0,0,0,15,174,459,684,2294
"Hot Springs, AR",310M200US26300,38089,35151,29719,5432,4534,603,295,164,164,0,0,0,0,151,524,368,1731
"Houma-Thibodaux, LA",310M200US26380,89608,82398,71952,10446,7566,1620,1260,338,323,0,0,0,15,224,1326,3499,1823
"Houston-The Woodlands-Sugar Land, TX",310M200US26420,2864748,2606339,2289715,316624,235620,46976,34028,68348,66328,651,687,621,61,9064,38625,44124,98248
"Huntington-Ashland, WV-KY-OH",310M200US26580,141117,132790,120696,12094,10055,1301,738,633,576,34,8,15,0,182,3054,1413,3045
"Huntsville, AL",310M200US26620,197012,185944,170893,15051,12286,1625,1140,691,625,0,66,0,0,208,2066,2377,5726
"Idaho Falls, ID",310M200US26820,58050,52412,45249,7163,5044,842,1277,1374,1374,0,0,0,0,378,1115,612,2159
"Indianapolis-Carmel-Anderson, IN",310M200US26900,900687,833210,754540,78670,64143,8564,5963,9531,9140,170,83,104,34,2773,14235,7505,33433
"Iowa City, IA",310M200US26980,85803,66515,58433,8082,6395,993,694,4664,4630,34,0,0,0,1855,7634,1470,3665
"Ithaca, NY",310M200US27060,47977,33935,29787,4148,3717,304,127,3132,3102,0,8,22,0,524,7135,334,2917
"Jackson, MI",310M200US27100,64050,59489,52978,6511,5172,798,541,273,273,0,0,0,0,338,1292,522,2136
"Jackson, MS",310M200US27140,246351,233692,210928,22764,17900,2710,2154,792,778,0,0,0,14,172,2488,2727,6480
"Jackson, TN",310M200US27180,54302,49952,46169,3783,2900,593,290,440,400,0,0,22,18,104,656,832,2318
"Jacksonville, FL",310M200US27260,619957,562685,502618,60067,48241,8069,3757,7353,7230,14,76,7,26,3427,7482,8476,30534
"Jacksonville, NC",310M200US27340,88290,76701,64856,11845,9074,1664,1107,320,317,0,3,0,0,253,4606,1036,5374
"Janesville-Beloit, WI",310M200US27500,73689,67579,60129,7450,6026,919,505,459,389,0,40,30,0,199,1676,634,3142
"Jefferson City, MO",310M200US27620,68637,64301,56008,8293,6456,1090,747,114,114,0,0,0,0,92,1053,823,2254
"Johnson City, TN",310M200US27740,85473,78965,72677,6288,5347,653,288,409,376,0,0,0,33,219,1111,1304,3465
"Johnstown, PA",310M200US27780,57694,52894,47843,5051,3910,646,495,689,683,3,3,0,0,28,1815,851,1417
"Jonesboro, AR",310M200US27860,52890,49421,44540,4881,3646,703,532,104,104,0,0,0,0,39,734,603,1989
"Joplin, MO",310M200US27900,79198,73357,65508,7849,6327,984,538,208,158,37,13,0,0,179,1274,1062,3118
"Kahului-Wailuku-Lahaina, HI",310M200US27980,77090,65007,54331,10676,7652,1612,1412,1897,1796,8,8,10,75,768,2935,1578,4905
"Kalamazoo-Portage, MI",310M200US28020,148946,135328,123432,11896,9563,1373,960,1800,1666,66,40,28,0,624,3953,1512,5729
"Kankakee, IL",310M200US28100,48630,44126,40028,4098,2943,545,610,719,383,0,44,292,0,183,1379,695,1528
"Kansas City, MO-KS",310M200US28140,986147,908667,821263,87404,70632,9779,6993,11517,11207,95,101,38,76,1916,12825,9284,41938
"Kennewick-Richland, WA",310M200US28420,115097,106099,92160,13939,8000,2599,3340,1344,1297,47,0,0,0,331,2305,871,4147
"Killeen-Temple, TX",310M200US28660,182835,167455,146784,20671,16822,2586,1263,435,410,23,0,0,2,330,6623,2649,5343
"Kingsport-Bristol-Bristol, TN-VA",310M200US28700,125326,118853,109032,9821,7832,1090,899,435,435,0,0,0,0,171,1259,1066,3542
"Kingston, NY",310M200US28740,83370,70909,64193,6716,5309,788,619,1946,922,19,461,530,14,390,3679,820,5626
"Knoxville, TN",310M200US28940,367691,344864,313051,31813,24398,4892,2523,2047,1978,7,0,51,11,533,4371,2573,13303
"Kokomo, IN",310M200US29020,34378,32197,29290,2907,2286,413,208,138,68,70,0,0,0,144,460,470,969
"La Crosse-Onalaska, WI-MN",310M200US29100,70628,62282,56506,5776,4472,644,660,693,676,17,0,0,0,1204,3118,594,2737
"Lafayette, LA",310M200US29180,214281,200954,176605,24349,17875,3215,3259,1023,1012,0,0,0,11,783,3379,3320,4822
