Geographic Area Name,Geography,Total!!Estimate!!Population 16 years and over,In labor force!!Estimate!!Population 16 years and over,Employed!!Estimate!!Population 16 years and over,Unemployment rate!!Estimate!!Population 16 years and over,Total!!Estimate!!AGE!!16 to 19 years,In labor force!!Estimate!!AGE!!16 to 19 years,Employed!!Estimate!!AGE!!16 to 19 years,Unemployment rate!!Estimate!!AGE!!16 to 19 years,Total!!Estimate!!AGE!!20 to 24 years,In labor force!!Estimate!!AGE!!20 to 24 years,Employed!!Estimate!!AGE!!20 to 24 years,Unemployment rate!!Estimate!!AGE!!20 to 24 years,Total!!Estimate!!AGE!!25 to 44 years,In labor force!!Estimate!!AGE!!25 to 44 years,Employed!!Estimate!!AGE!!25 to 44 years,Unemployment rate!!Estimate!!AGE!!25 to 44 years,Total!!Estimate!!AGE!!45 to 54 years,In labor force!!Estimate!!AGE!!45 to 54 years,Employed!!Estimate!!AGE!!45 to 54 years,Unemployment rate!!Estimate!!AGE!!45 to 54 years,Total!!Estimate!!AGE!!55 to 64 years,In labor force!!Estimate!!AGE!!55 to 64 years,Employed!!Estimate!!AGE!!55 to 64 years,Unemployment rate!!Estimate!!AGE!!55 to 64 years,Total!!Estimate!!AGE!!65 to 74 years,In labor force!!Estimate!!AGE!!65 to 74 years,Employed!!Estimate!!AGE!!65 to 74 years,Unemployment rate!!Estimate!!AGE!!65 to 74 years,Total!!Estimate!!AGE!!75 years and over,In labor force!!Estimate!!AGE!!75 years and over,Employed!!Estimate!!AGE!!75 years and over,Unemployment rate!!Estimate!!AGE!!75 years and over,Total!!Estimate!!Population 20 to 64 years,In labor force!!Estimate!!Population 20 to 64 years,Employed!!Estimate!!Population 20 to 64 years,Unemployment rate!!Estimate!!Population 20 to 64 years,Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level,In labor force!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level,Employed!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level,Unemployment rate!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level
"Abilene, TX",310M200US10180,131984,59.3,53.3,6.4,10188,41.2,33.0,18.0,16573,72.8,59.6,10.0,42435,71.9,63.1,6.7,20921,73.3,69.8,4.5,18423,64.1,62.6,2.4,12458,27.2,26.4,3.1,10986,8.2,8.1,1.5,98352,70.9,63.8,6.0,15289,52.3,41.7,19.6
"Aguadilla-Isabela, PR",310M200US10380,265643,40.1,30.0,25.2,19232,14.0,3.9,71.9,22522,47.2,27.0,42.8,84075,67.5,50.7,24.7,44365,54.3,44.1,18.7,41855,25.0,20.6,17.5,32318,5.4,5.1,6.0,21276,1.4,1.4,0.0,192817,52.9,39.9,24.4,97143,42.0,23.4,44.3
"Akron, OH",310M200US10420,570055,65.5,59.1,9.7,41457,46.3,32.4,30.0,53561,79.3,68.2,13.9,169307,85.4,77.8,8.8,104100,82.4,76.1,7.7,96373,66.4,62.2,6.4,56375,25.4,24.0,5.6,48882,5.6,5.2,8.7,423341,79.6,72.6,8.7,59727,57.3,38.2,33.3
"Albany, GA",310M200US10500,121559,58.3,49.3,15.0,9505,38.0,24.4,35.8,12284,69.0,46.8,31.1,39359,76.6,65.3,14.2,20799,73.0,66.0,9.5,19420,55.6,51.6,7.3,11865,18.9,17.2,9.3,8327,4.7,4.6,2.0,91862,70.4,60.1,14.1,20909,50.3,29.6,41.1
"Albany, OR",310M200US10540,93268,58.1,51.5,11.2,5635,38.9,26.5,32.0,7220,74.3,60.3,17.9,29032,77.8,68.2,12.2,15750,76.5,71.3,6.7,16463,58.9,54.6,7.2,10892,17.3,16.5,4.8,8276,4.5,4.1,10.1,68465,72.6,64.8,10.5,12147,48.8,33.9,30.4
"Albany-Schenectady-Troy, NY",310M200US10580,715572,65.9,60.8,7.4,51937,39.7,30.4,23.4,67931,75.4,65.7,11.6,216701,86.7,80.1,7.0,132041,85.2,81.0,4.9,117973,66.6,63.1,5.2,69154,25.2,23.6,6.5,59835,5.8,5.4,6.7,534646,80.5,74.7,6.7,56317,54.1,38.2,29.3
"Albuquerque, NM",310M200US10740,708072,62.5,56.5,9.1,47321,37.3,26.2,29.6,63205,73.0,61.3,14.7,239698,80.5,73.4,8.1,123876,78.4,72.6,7.2,114113,60.8,57.0,6.1,69125,23.6,21.8,7.9,50734,6.3,5.9,7.2,540892,75.0,68.3,8.3,91815,51.0,37.1,27.1
"Alexandria, LA",310M200US10780,120548,54.6,49.6,8.8,8624,30.4,22.3,26.3,10064,65.0,51.2,19.5,39999,71.7,65.1,8.9,21330,70.2,66.5,5.3,18859,51.5,49.2,4.4,12345,21.6,21.1,2.5,9327,7.1,6.9,1.8,90252,66.4,60.6,8.4,15751,45.1,32.8,26.8
"Allentown-Bethlehem-Easton, PA-NJ",310M200US10900,666063,64.7,58.7,9.2,45596,43.4,31.2,28.3,52148,74.5,63.2,15.2,200091,85.2,78.0,8.4,126818,83.6,77.9,6.7,109666,68.3,63.9,6.4,68269,25.7,23.3,9.4,63475,5.4,5.1,5.8,488723,79.9,73.2,8.2,48851,52.8,35.0,33.7
"Altoona, PA",310M200US11020,103318,59.8,55.7,6.7,6431,42.8,35.1,18.1,8239,73.9,63.6,13.9,29173,84.3,78.8,6.4,17985,80.3,76.5,4.7,18138,59.4,56.9,4.3,11930,22.5,22.0,2.5,11422,3.7,3.5,6.8,73535,76.0,71.1,6.4,9751,44.8,34.4,23.1
"Amarillo, TX",310M200US11100,196620,65.6,62.2,5.0,13886,47.0,38.0,19.1,18731,78.5,71.8,8.2,69550,81.1,77.6,4.1,33420,79.4,76.4,3.8,29571,64.6,63.0,2.5,17390,27.1,26.0,4.1,14072,7.4,7.1,3.5,151272,77.2,73.7,4.3,21144,52.7,44.9,14.7
"Ames, IA",310M200US11180,77402,68.1,64.2,5.7,9347,36.6,27.2,25.7,20042,74.7,69.7,6.7,20886,88.2,85.0,3.6,8960,88.4,84.8,3.8,8749,74.4,73.4,1.3,4861,25.1,24.2,3.4,4557,5.5,5.3,4.0,58637,81.6,78.0,4.3,15015,67.1,61.0,9.1
"Anchorage, AK",310M200US11260,301210,71.7,63.5,7.7,21605,44.0,32.6,21.8,32354,82.1,63.4,12.3,112782,83.6,73.7,6.9,55600,82.7,77.2,5.9,46554,68.9,65.1,5.4,21115,32.2,30.5,5.2,11200,8.3,7.9,4.9,247290,80.4,71.5,7.1,18205,52.1,33.4,35.7
"Ann Arbor, MI",310M200US11460,289108,65.5,60.0,8.4,27305,38.2,26.7,30.0,43918,68.1,60.7,10.8,92163,82.4,76.4,7.2,46027,82.5,77.4,6.1,40817,67.8,64.6,4.7,22687,28.4,26.4,6.7,16191,6.1,5.9,3.3,222925,76.9,71.4,7.2,34912,55.0,42.7,22.3
"Anniston-Oxford-Jacksonville, AL",310M200US11500,93690,57.4,49.4,13.5,6264,35.6,17.4,51.0,8759,73.2,56.7,22.3,29129,79.7,68.8,13.1,16155,73.7,66.9,9.1,15563,50.6,47.1,6.6,10116,17.5,16.9,3.4,7704,5.0,4.8,3.1,69606,71.0,62.0,12.3,13750,52.7,34.0,35.3
"Appleton, WI",310M200US11540,178385,71.1,67.9,4.5,12609,53.2,48.0,9.7,13354,83.1,76.7,7.7,60037,89.3,85.7,3.9,36346,87.5,84.4,3.5,27782,71.4,68.1,4.6,15307,20.8,20.1,3.2,12950,4.5,4.5,0.3,137519,84.6,81.0,4.3,10186,60.5,49.0,18.9
"Arecibo, PR",310M200US11640,157489,40.3,33.3,17.3,11432,12.0,3.8,68.6,13675,45.5,28.4,37.6,50468,67.4,57.4,14.8,25980,55.0,47.6,13.4,23382,25.3,22.3,11.8,19357,7.3,7.1,3.4,13195,1.6,1.5,9.0,113505,53.2,44.4,16.5,50086,36.4,22.9,37.2
"Asheville, NC",310M200US11700,357619,59.3,54.3,8.1,19436,41.9,31.1,25.6,25284,78.2,68.0,12.8,106704,83.6,77.3,7.1,59906,77.2,71.5,7.3,62077,60.2,56.7,5.9,46417,20.7,19.6,5.2,37795,4.3,4.1,4.0,253971,75.8,69.9,7.5,40211,52.4,38.4,26.7
"Athens-Clarke County, GA",310M200US12020,160495,58.8,53.6,8.6,17014,27.3,20.0,26.2,28194,56.9,49.5,12.6,51329,78.4,72.8,6.7,22490,77.6,71.9,7.2,20004,61.1,57.7,5.7,12788,25.8,24.3,5.6,8676,5.1,5.0,2.7,122017,70.5,64.8,7.8,34179,46.4,37.3,19.5
"Atlanta-Sandy Springs-Roswell, GA",310M200US12060,4198168,67.6,60.3,10.8,304394,33.1,21.7,34.4,361995,72.8,58.7,19.1,1596862,83.7,75.5,9.6,797261,82.0,75.3,8.1,598420,65.2,59.6,8.5,333290,24.9,23.1,7.4,205946,5.6,5.2,6.3,3354538,78.8,70.8,10.0,451450,57.8,38.1,34.0
"Atlantic City-Hammonton, NJ",310M200US12100,220859,66.4,57.8,12.8,15436,46.0,28.3,38.5,18612,76.0,62.6,17.5,66439,85.3,73.8,13.0,42859,83.3,75.3,9.5,36356,68.2,62.7,8.1,23001,30.5,27.3,10.5,18156,7.2,6.7,7.4,164266,79.9,70.5,11.6,22029,55.0,35.4,35.6
"Auburn-Opelika, AL",310M200US12220,119075,62.1,56.2,8.4,11318,26.3,18.6,29.3,22162,60.6,52.6,12.5,39458,81.5,73.5,7.7,17349,81.0,76.5,5.0,14524,59.6,57.2,4.1,8775,25.1,23.3,7.2,5489,9.2,9.2,0.0,93493,73.1,66.6,7.6,22641,49.1,38.0,22.3
"Augusta-Richmond County, GA-SC",310M200US12260,451862,59.7,51.9,10.5,31451,33.5,20.2,33.6,41117,72.4,52.9,22.1,148884,79.0,68.5,9.6,80382,74.9,68.9,7.3,73142,56.4,53.2,5.7,45663,19.4,18.5,5.0,31223,5.2,4.9,4.7,343525,72.4,63.5,9.8,56767,49.7,32.6,34.1
"Austin-Round Rock, TX",310M200US12420,1426230,70.3,65.3,6.9,98257,33.3,24.7,25.7,145423,71.9,63.8,11.0,596703,85.1,80.0,5.7,238491,83.2,78.6,5.5,185911,68.4,64.1,6.2,97181,28.6,27.1,5.2,64264,7.2,6.8,5.3,1166528,80.4,75.2,6.3,160285,57.6,45.8,20.5
"Bakersfield, CA",310M200US12540,630972,59.0,50.9,13.2,54830,29.6,18.9,35.6,69665,67.9,53.7,20.2,235416,73.2,63.9,12.1,107100,71.9,64.5,10.2,83164,56.6,51.5,9.0,47523,21.6,20.0,7.4,33274,5.6,4.9,12.9,495345,69.4,60.5,12.4,93908,53.1,35.8,32.5
"Baltimore-Columbia-Towson, MD",310M200US12580,2205546,67.8,61.7,8.2,147616,39.5,29.4,23.3,191851,75.0,61.6,15.2,737055,85.7,78.3,7.5,415582,83.5,78.1,6.2,347276,69.3,65.4,5.7,203726,31.1,29.4,5.5,162440,6.8,6.5,5.7,1691764,80.6,73.7,7.7,166946,49.3,31.2,36.6
"Bangor, ME",310M200US12620,127862,62.0,56.9,8.0,9352,43.5,34.1,21.5,13164,75.6,65.4,13.0,36715,81.2,74.3,8.1,23324,77.6,73.4,5.0,21621,64.0,60.9,4.7,12826,23.7,22.6,4.6,10860,4.1,4.0,2.7,94824,75.6,69.8,7.4,16295,48.5,36.8,24.1
"Barnstable Town, MA",310M200US12700,184461,59.8,54.7,7.9,9405,45.6,40.1,12.0,10693,80.7,66.9,15.5,38765,86.0,79.0,7.0,32555,85.4,79.2,7.1,36246,68.7,64.1,6.6,29649,31.2,28.4,8.9,27148,7.5,7.0,7.3,118259,80.0,73.4,7.7,11027,50.8,39.3,22.6
"Baton Rouge, LA",310M200US12940,639548,64.4,59.3,7.8,48365,36.3,27.0,25.7,70897,73.4,63.5,13.2,221736,83.1,77.0,7.1,108455,77.6,74.0,4.5,96116,59.5,56.5,5.1,55695,25.8,24.4,5.3,38284,6.5,6.3,2.3,497204,75.9,70.5,7.1,77092,53.9,40.4,25.0
"Battle Creek, MI",310M200US12980,107262,60.0,52.9,11.6,7666,36.5,25.1,30.8,8568,80.8,63.3,21.5,32712,82.2,72.5,11.5,19079,78.4,71.9,8.0,18248,56.4,52.8,6.4,11264,17.7,16.2,8.6,9725,5.3,5.2,2.5,78607,75.1,66.8,10.9,12590,54.4,34.2,37.2
"Bay City, MI",310M200US13020,86635,59.2,52.9,10.5,5025,44.9,33.0,26.5,6706,84.4,69.3,17.8,24999,82.6,74.5,9.8,15947,80.7,74.0,8.2,15438,50.1,46.6,6.9,10026,17.6,16.1,8.9,8494,3.8,3.6,4.7,63090,74.4,67.0,9.8,9337,50.8,33.5,34.1
"Beaumont-Port Arthur, TX",310M200US13140,318440,57.8,52.3,9.5,22371,36.7,28.4,22.7,28511,71.2,59.3,16.7,105618,73.9,66.8,9.5,56923,73.6,68.6,6.8,49845,56.0,52.9,5.5,30075,21.5,20.3,5.4,25097,4.9,4.6,5.6,240897,69.8,63.5,9.0,36990,50.1,36.3,27.6
"Beckley, WV",310M200US13220,101461,48.1,44.3,7.9,5202,37.5,29.7,20.8,7314,61.6,51.2,16.9,31798,67.3,61.4,8.5,16590,58.9,56.0,4.8,19128,46.9,45.0,3.9,11676,15.1,14.7,2.8,9753,5.0,4.9,1.8,74830,59.6,55.0,7.6,13205,36.0,25.7,28.6
"Bellingham, WA",310M200US13380,167767,63.5,57.7,9.0,12646,40.5,30.3,24.9,22644,75.2,64.8,13.8,50154,81.8,75.0,7.7,26208,80.6,75.8,5.9,26770,65.8,60.9,7.4,17160,23.9,22.6,5.4,12185,4.6,4.5,2.0,125776,76.9,70.3,8.3,21627,56.2,41.5,26.2
"Bend-Redmond, OR",310M200US13460,131138,61.5,54.7,10.9,7518,45.9,33.7,26.6,8481,80.9,71.4,11.8,41488,82.8,74.3,10.0,22477,80.1,72.2,9.8,24128,61.2,54.7,10.5,16515,17.0,15.3,9.9,10531,3.4,3.3,3.6,96574,76.6,68.7,10.2,14168,58.4,39.9,31.4
"Billings, MT",310M200US13740,128928,68.0,64.8,4.5,7765,52.2,44.2,14.7,9900,81.4,75.2,7.1,41478,85.5,81.8,3.8,22871,85.5,82.0,4.0,22272,68.9,66.6,3.4,13237,32.8,32.3,1.8,11405,7.5,7.3,3.3,96521,81.2,77.7,4.1,10938,56.7,46.7,17.7
"Binghamton, NY",310M200US13780,204958,59.8,54.8,8.4,16477,37.1,29.8,19.4,21156,66.0,57.1,13.4,54890,81.8,75.2,8.1,36809,80.5,76.1,5.5,33486,65.5,61.1,6.9,21402,23.5,21.7,7.7,20738,5.0,4.6,6.3,146341,75.5,69.6,7.8,23126,44.7,31.6,29.3
"Birmingham-Hoover, AL",310M200US13820,898111,61.3,55.5,9.3,58130,34.5,25.4,26.5,73073,73.9,60.8,17.7,305210,80.9,73.3,9.1,160174,75.5,70.3,6.7,145623,58.0,54.8,5.5,88010,23.8,22.7,4.5,67891,5.7,5.4,5.0,684080,74.0,67.3,8.9,101806,51.6,34.2,33.8
"Bismarck, ND",310M200US13900,95594,72.0,69.3,3.3,6102,62.8,54.1,13.8,8590,83.6,79.8,3.7,31755,88.9,85.7,3.0,16773,88.5,86.5,2.1,15481,73.0,71.3,2.3,8722,31.5,30.8,2.2,8171,8.4,8.3,1.7,72599,84.8,82.1,2.7,5491,56.3,46.9,16.7
"Blacksburg-Christiansburg-Radford, VA",310M200US13980,153013,57.7,53.7,6.6,17890,28.1,21.7,22.8,27633,56.1,51.1,8.6,41718,81.4,76.3,5.6,21227,79.0,75.1,4.8,20311,63.3,60.9,3.7,14058,24.0,23.2,3.6,10176,7.4,7.4,0.0,110889,71.3,67.0,5.7,26672,44.4,36.2,18.4
"Bloomington, IL",310M200US14010,151339,69.0,64.6,6.2,13467,43.8,35.3,19.4,23276,72.6,66.0,9.1,47863,88.8,84.1,5.1,24595,88.4,84.5,4.2,20818,67.0,64.3,4.0,11543,25.2,24.2,4.1,9777,5.1,5.1,0.6,116552,81.6,77.0,5.5,18621,61.6,51.2,16.9
"Bloomington, IN",310M200US14020,137936,60.8,56.1,7.7,15068,30.8,23.3,24.3,30037,58.3,52.4,10.3,39373,82.0,75.8,7.4,17864,80.9,77.3,4.4,17112,66.6,64.5,3.0,10313,29.4,28.6,3.0,8169,6.7,6.3,5.9,104386,72.5,67.5,6.8,26915,49.6,42.3,14.7
"Bloomsburg-Berwick, PA",310M200US14100,71475,58.5,54.9,6.0,6218,31.3,26.6,14.9,8136,56.1,52.1,7.2,18770,84.2,78.9,6.1,12030,82.3,78.1,5.0,11745,64.8,61.9,4.5,7546,21.0,20.1,4.2,7030,5.4,5.2,4.7,50681,74.7,70.5,5.6,7483,39.1,30.9,21.0
"Boise City, ID",310M200US14260,484177,65.0,59.3,8.5,34601,39.1,28.4,27.5,41056,76.8,66.7,12.9,176135,81.6,75.5,7.0,83551,81.2,75.5,6.9,72378,64.8,60.1,7.1,44950,21.2,19.5,7.9,31506,5.6,5.4,3.2,373120,77.7,71.6,7.7,52597,57.8,44.2,23.6
"Boston-Cambridge-Newton, MA-NH",310M200US14460,3791587,69.2,63.6,7.9,262691,43.8,34.2,22.0,336123,75.2,66.0,12.0,1272571,86.2,80.1,6.9,702682,84.9,79.3,6.6,581064,73.3,68.4,6.7,341472,33.3,31.1,6.5,294984,7.1,6.7,5.4,2892440,82.0,75.9,7.3,274533,51.1,35.3,31.0
"Boulder, CO",310M200US14500,249506,70.1,65.2,6.9,21382,40.7,31.2,23.4,32408,72.0,64.8,9.9,80925,87.8,83.6,4.6,43037,85.1,80.1,5.8,37961,74.0,68.6,7.2,19796,32.0,30.5,4.7,13997,5.4,5.4,0.0,194331,81.9,76.8,6.2,28947,61.5,51.0,17.0
"Bowling Green, KY",310M200US14540,129487,63.0,57.0,9.6,10674,41.6,26.9,35.1,16522,77.4,66.1,14.6,41296,81.9,75.0,8.4,21326,76.7,72.9,5.0,18854,58.1,55.0,5.3,12278,22.5,21.2,5.7,8537,5.5,5.5,0.0,97998,75.4,69.2,8.2,18298,54.0,40.6,24.9
"Bremerton-Silverdale, WA",310M200US14740,205636,62.9,52.2,9.0,13328,39.5,24.8,30.1,20151,82.0,51.6,14.7,62605,80.1,64.1,9.0,36324,79.8,74.4,5.6,36244,62.7,58.8,6.1,22331,22.5,20.5,8.9,14653,4.1,4.0,1.2,155324,76.2,63.6,8.1,15820,49.8,32.9,32.9
"Bridgeport-Stamford-Norwalk, CT",310M200US14860,736025,68.5,61.9,9.6,52563,38.7,28.2,27.2,52937,78.7,65.4,16.8,235475,84.7,77.5,8.4,149979,84.2,77.6,7.9,114796,74.4,68.8,7.5,68211,37.4,34.0,9.2,62064,8.9,8.1,8.8,553187,81.9,74.6,8.8,46952,59.5,38.0,36.1
"Brownsville-Harlingen, TX",310M200US15180,295972,54.8,49.0,10.5,28432,20.8,13.3,35.9,29623,62.6,49.4,21.1,103982,73.8,67.4,8.5,46215,73.2,67.3,7.9,39202,54.8,51.5,6.0,26685,18.3,16.7,8.7,21833,3.6,3.4,5.3,219022,68.8,62.1,9.5,61971,50.2,39.4,21.6
"Brunswick, GA",310M200US15260,89747,60.1,53.1,11.4,5159,42.7,28.2,33.9,7100,71.3,49.7,30.1,26976,81.6,72.6,10.9,16311,75.9,71.2,6.1,15890,57.7,54.2,6.0,10898,24.2,22.5,7.0,7413,6.3,6.3,0.0,66277,73.4,65.4,10.7,11969,53.0,35.1,33.8
"Buffalo-Cheektowaga-Niagara Falls, NY",310M200US15380,926994,63.0,57.9,8.0,62381,44.5,34.6,22.1,83796,76.0,67.4,11.2,273363,83.6,77.2,7.6,169777,80.9,75.9,6.2,154282,63.8,60.2,5.5,93557,24.4,22.7,7.0,89838,6.2,5.8,6.1,681218,77.5,71.8,7.3,89466,48.5,34.4,29.1
"Burlington, NC",310M200US15500,122224,63.0,57.0,9.5,9184,34.2,25.8,24.6,10801,73.4,63.6,13.3,37614,84.5,76.8,9.0,22192,79.7,73.4,7.9,19030,66.4,61.6,7.2,12524,25.7,23.5,8.4,10879,6.3,5.9,6.0,89637,78.1,71.1,8.9,14411,55.6,40.3,27.5
"Burlington-South Burlington, VT",310M200US15540,175862,70.8,66.5,5.8,14824,45.2,37.9,16.0,19826,77.8,68.6,11.8,54442,88.3,83.6,4.9,32164,87.0,83.3,4.0,27864,73.8,71.3,3.4,15090,32.8,32.1,2.2,11652,6.8,6.7,2.3,134296,83.4,78.7,5.3,14620,55.9,42.7,23.4
"California-Lexington Park, MD",310M200US15680,84099,69.3,63.2,5.4,6415,39.8,29.5,24.6,7438,80.7,69.7,10.3,28824,85.4,76.8,4.6,17166,83.5,78.7,3.2,12238,68.2,66.2,2.9,7232,28.7,27.7,3.2,4786,7.1,6.9,3.8,65666,81.2,74.5,4.6,3865,44.8,32.7,26.0
"Canton-Massillon, OH",310M200US15940,324838,62.6,56.6,9.5,21788,44.0,31.9,27.5,24932,79.4,67.6,14.5,93414,84.3,76.1,9.4,58866,81.5,75.7,7.1,57319,64.2,59.9,6.7,36427,24.2,23.1,4.6,32092,5.1,4.8,4.3,234531,78.2,71.2,8.8,32512,56.1,36.8,34.5
"Cape Coral-Fort Myers, FL",310M200US15980,538061,53.6,47.2,11.9,28137,33.9,23.6,30.4,34742,76.3,63.3,17.0,139758,82.0,73.1,10.7,82727,77.6,68.4,11.8,91183,56.0,50.7,9.5,90994,20.0,18.2,9.2,70520,6.0,5.2,13.7,348410,73.6,65.1,11.4,55475,55.6,37.4,32.8
