Geographic Area Name,Geography,Total!!Estimate!!Population 16 years and over,In labor force!!Estimate!!Population 16 years and over,Employed!!Estimate!!Population 16 years and over,Unemployment rate!!Estimate!!Population 16 years and over,Total!!Estimate!!AGE!!16 to 19 years,In labor force!!Estimate!!AGE!!16 to 19 years,Employed!!Estimate!!AGE!!16 to 19 years,Unemployment rate!!Estimate!!AGE!!16 to 19 years,Total!!Estimate!!AGE!!20 to 24 years,In labor force!!Estimate!!AGE!!20 to 24 years,Employed!!Estimate!!AGE!!20 to 24 years,Unemployment rate!!Estimate!!AGE!!20 to 24 years,Total!!Estimate!!AGE!!25 to 44 years,In labor force!!Estimate!!AGE!!25 to 44 years,Employed!!Estimate!!AGE!!25 to 44 years,Unemployment rate!!Estimate!!AGE!!25 to 44 years,Total!!Estimate!!AGE!!45 to 54 years,In labor force!!Estimate!!AGE!!45 to 54 years,Employed!!Estimate!!AGE!!45 to 54 years,Unemployment rate!!Estimate!!AGE!!45 to 54 years,Total!!Estimate!!AGE!!55 to 64 years,In labor force!!Estimate!!AGE!!55 to 64 years,Employed!!Estimate!!AGE!!55 to 64 years,Unemployment rate!!Estimate!!AGE!!55 to 64 years,Total!!Estimate!!AGE!!65 to 74 years,In labor force!!Estimate!!AGE!!65 to 74 years,Employed!!Estimate!!AGE!!65 to 74 years,Unemployment rate!!Estimate!!AGE!!65 to 74 years,Total!!Estimate!!AGE!!75 years and over,In labor force!!Estimate!!AGE!!75 years and over,Employed!!Estimate!!AGE!!75 years and over,Unemployment rate!!Estimate!!AGE!!75 years and over,Total!!Estimate!!Population 20 to 64 years,In labor force!!Estimate!!Population 20 to 64 years,Employed!!Estimate!!Population 20 to 64 years,Unemployment rate!!Estimate!!Population 20 to 64 years,Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level,In labor force!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level,Employed!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level,Unemployment rate!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level
"Santa Maria-Santa Barbara, CA",310M200US42200,344560,63.8,57.7,8.9,31103,36.6,25.8,29.1,47494,70.9,62.3,10.8,107360,82.4,75.1,7.9,53426,81.4,75.9,6.6,47398,66.9,62.5,6.6,29457,31.3,29.6,5.6,28322,6.3,5.5,11.6,255678,77.2,70.5,7.9,39451,55.5,42.1,24.1
"Santa Rosa, CA",310M200US42220,399649,65.2,58.8,9.6,25593,40.9,30.6,24.8,32566,77.1,65.3,14.5,123598,83.7,75.9,8.9,71119,82.6,76.2,7.7,71638,67.3,61.8,8.0,42459,30.2,27.9,7.7,32676,6.0,5.6,6.9,298921,78.8,71.4,9.0,37018,54.8,38.8,29.2
"Savannah, GA",310M200US42340,284285,63.6,56.4,9.1,20624,34.7,22.8,33.3,30081,67.0,51.8,18.4,101224,83.4,73.9,7.8,47230,79.1,73.9,6.1,41137,61.3,58.5,4.5,25804,22.5,20.9,6.9,18185,4.3,4.2,1.7,219672,76.1,68.0,8.2,32864,52.7,38.5,26.5
"Scranton--Wilkes-Barre--Hazleton, PA",310M200US42540,464031,60.1,55.2,8.2,30121,42.2,34.3,18.9,37825,73.0,63.2,13.3,133205,82.0,74.9,8.5,82336,79.4,75.0,5.5,77875,62.1,58.4,6.1,52119,24.6,23.1,6.4,50550,5.9,5.7,4.0,331241,75.6,69.7,7.8,44415,46.6,33.4,28.3
"Seattle-Tacoma-Bellevue, WA",310M200US42660,2849382,68.3,62.0,8.2,174070,35.9,25.8,27.2,240469,77.5,63.5,14.7,1069834,83.7,76.4,7.2,519469,82.8,77.2,6.6,434176,69.2,64.9,6.1,234430,27.2,25.7,5.6,176934,4.9,4.6,6.1,2263948,80.0,73.0,7.6,239819,52.3,36.5,30.0
"Sebastian-Vero Beach, FL",310M200US42680,118491,51.6,44.5,13.6,5959,35.9,26.9,25.0,6718,75.1,56.1,25.3,26297,82.5,72.3,12.1,18604,78.4,68.8,12.2,20591,61.6,53.5,13.2,19843,20.3,18.3,9.7,20479,4.9,4.7,3.6,72210,74.8,64.5,13.6,11562,59.7,37.2,37.7
"Sebring, FL",310M200US42700,82459,43.6,37.0,14.9,3759,35.8,18.7,47.7,4544,67.6,49.8,25.8,17470,79.0,67.2,14.7,11062,72.5,67.4,7.0,13152,51.5,42.8,16.9,16432,13.3,12.2,8.5,16040,4.7,4.6,1.7,46228,68.5,58.6,14.3,9294,53.7,35.8,33.1
"Sheboygan, WI",310M200US43100,91692,68.7,64.1,6.8,6026,56.7,49.5,12.7,6427,81.7,70.7,13.6,27924,87.1,81.2,6.7,17816,88.2,84.3,4.4,15797,73.7,69.5,5.7,9139,25.1,24.1,4.2,8563,4.3,4.0,7.3,67964,83.8,78.3,6.5,5515,61.9,41.8,32.5
"Sherman-Denison, TX",310M200US43300,96332,60.9,55.3,9.1,6921,37.0,25.6,30.3,7842,78.8,65.0,17.4,28438,81.7,75.2,7.9,17259,78.8,74.0,6.2,16027,62.5,58.4,6.6,11167,23.1,22.2,4.1,8678,5.5,5.0,7.8,69566,76.2,69.9,8.3,10384,52.3,37.5,28.3
"Shreveport-Bossier City, LA",310M200US43340,347621,61.3,55.5,7.6,23674,34.4,24.8,26.2,30918,73.8,59.5,13.4,116498,80.2,72.0,7.9,59092,76.4,72.6,4.6,55503,59.2,56.6,4.3,34080,25.4,24.6,3.3,27856,7.2,7.0,1.6,262011,74.1,67.4,7.1,43522,48.0,35.4,26.1
"Sierra Vista-Douglas, AZ",310M200US43420,104263,52.2,43.6,9.3,7020,44.0,25.3,21.9,8339,77.9,54.6,11.4,31145,68.0,56.2,8.8,16311,70.9,63.9,8.4,17444,53.5,49.2,8.0,14005,16.3,15.2,6.6,9999,4.9,4.6,6.3,73239,66.3,56.1,8.8,10631,50.8,36.9,26.5
"Sioux City, IA-NE-SD",310M200US43580,129062,69.8,66.1,5.2,9775,58.4,50.3,13.9,11014,84.8,76.8,9.3,40723,87.1,82.5,5.2,22807,84.8,81.3,3.9,21119,74.7,72.9,2.4,12331,31.0,30.6,1.4,11293,6.1,5.7,6.3,95663,83.5,79.4,4.8,11039,58.7,46.2,21.3
"Sioux Falls, SD",310M200US43620,183140,75.0,71.9,3.9,12444,58.8,51.4,12.6,15315,84.0,78.3,6.2,67839,90.0,86.9,3.1,32408,88.5,84.9,4.0,27454,77.2,75.3,2.6,14683,35.0,34.5,1.2,12997,7.8,7.7,2.2,143016,86.6,83.3,3.6,12342,57.1,43.2,24.3
"South Bend-Mishawaka, IN-MI",310M200US43780,251336,64.0,57.4,10.3,19519,37.8,27.6,27.1,23523,71.0,58.8,17.2,77253,84.3,75.7,10.2,43437,82.3,76.4,7.2,41576,67.5,62.6,7.3,24229,26.2,24.7,5.9,21799,6.2,6.1,1.6,185789,78.4,70.8,9.7,27864,58.1,38.1,34.5
"Spartanburg, SC",310M200US43900,249896,60.8,54.3,10.6,17564,42.4,30.8,27.4,21746,75.3,62.9,16.4,78831,80.7,72.3,10.3,45133,77.2,71.0,8.0,40515,56.9,52.9,7.0,27147,20.5,19.3,5.8,18960,5.7,5.5,4.0,186225,74.1,66.7,9.9,29351,51.3,32.5,36.6
"Spokane-Spokane Valley, WA",310M200US44060,425902,60.5,54.4,9.2,29059,36.0,26.1,27.1,40489,74.2,61.3,15.0,134050,78.2,70.5,8.5,73410,77.5,72.2,6.7,71877,61.9,57.9,6.5,43846,21.6,20.3,6.0,33171,4.7,4.4,6.7,319826,73.9,66.9,8.5,50126,46.2,33.3,27.8
"Springfield, IL",310M200US44100,167877,67.0,61.5,8.0,10624,44.7,32.6,26.4,12736,80.3,69.9,12.7,53218,88.0,80.4,8.2,31013,85.4,80.7,5.4,29166,64.3,61.1,5.1,16874,27.7,26.5,4.4,14246,5.8,5.4,6.1,126133,81.1,74.9,7.3,16624,61.0,40.5,33.6
"Springfield, MA",310M200US44140,510561,63.5,57.1,9.9,45616,42.6,30.5,28.5,58826,69.1,58.3,15.5,145307,82.8,74.5,9.8,89340,80.4,75.1,6.4,81076,68.6,64.6,5.7,47402,28.8,27.4,5.0,42994,5.9,5.5,7.0,374549,77.0,70.0,9.0,55605,44.1,29.1,34.0
"Springfield, MO",310M200US44180,353929,62.8,57.8,8.0,24724,43.6,33.0,24.2,39475,78.2,68.9,11.6,113342,82.5,76.5,7.2,58582,77.0,72.2,6.1,52833,61.3,58.0,5.4,35554,23.3,22.6,2.7,29419,5.0,4.9,2.1,264232,76.4,70.7,7.3,44788,56.4,42.9,23.9
"Springfield, OH",310M200US44220,109322,60.1,53.5,10.8,7434,46.1,29.3,36.1,8781,78.9,65.9,16.4,31364,82.7,74.1,10.0,19293,76.5,69.9,8.6,19223,58.2,54.4,6.5,12762,22.8,21.9,4.0,10465,5.7,5.1,10.2,78661,74.8,67.3,9.7,14160,52.1,35.4,32.0
"State College, PA",310M200US44300,134902,57.8,54.7,5.3,18179,25.6,21.7,15.3,28209,51.6,47.6,7.6,35813,81.8,77.9,4.5,18114,85.1,82.4,3.0,16096,68.6,66.0,3.9,9899,25.1,24.5,2.3,8592,5.8,5.7,0.8,98232,71.6,68.1,4.7,21257,42.4,36.2,14.4
"Staunton-Waynesboro, VA",310M200US44420,97147,60.3,56.6,5.8,5676,40.0,34.1,14.7,7078,76.1,67.4,10.0,28797,78.5,73.3,6.3,17537,79.3,75.7,4.2,16597,63.0,61.2,3.0,11989,26.7,25.2,5.8,9473,7.9,7.6,3.1,70009,74.8,70.4,5.4,8256,53.1,43.6,18.0
"Stockton-Lodi, CA",310M200US44700,524915,61.8,52.5,15.0,44795,31.4,19.6,37.4,51821,71.7,56.4,21.2,184694,79.3,67.9,14.3,92113,77.1,67.6,12.2,73805,59.6,52.9,11.2,43728,23.2,21.2,8.4,33959,5.0,4.5,8.7,402433,74.2,63.6,14.2,69272,53.6,33.3,37.8
"Sumter, SC",310M200US44940,83746,60.0,49.1,13.9,5926,29.1,14.9,41.6,8831,71.7,47.6,27.2,26857,79.2,64.1,12.6,14627,77.8,68.4,11.3,12831,58.2,53.6,7.6,8386,20.3,19.1,6.1,6288,5.6,5.3,5.6,63146,73.6,60.6,13.3,9997,53.4,29.7,44.3
"Syracuse, NY",310M200US45060,533622,62.3,57.2,8.0,43394,35.7,27.2,23.6,50909,68.3,58.5,14.1,157148,82.8,76.2,7.6,100135,81.0,76.7,5.2,86544,64.6,60.8,5.8,50611,24.5,23.3,4.8,44881,5.5,5.2,4.6,394736,76.5,70.7,7.3,55257,45.1,32.7,27.5
"Tallahassee, FL",310M200US45220,307506,63.0,55.8,11.2,27730,35.3,21.0,40.6,52836,67.9,55.4,18.4,94580,78.8,71.7,8.8,46322,78.8,73.4,6.5,43997,67.3,63.1,6.3,24893,26.1,24.7,5.5,17148,5.3,5.0,5.1,237735,74.3,66.8,9.8,52740,55.7,37.3,32.9
"Tampa-St. Petersburg-Clearwater, FL",310M200US45300,2328792,60.1,53.6,10.4,135915,33.7,23.3,30.7,176025,74.5,61.9,16.3,715995,83.1,74.7,9.5,415101,79.7,72.7,8.5,374481,60.7,55.5,8.5,272266,21.6,19.7,9.1,239009,4.7,4.4,7.2,1681602,76.4,68.6,9.7,249659,51.5,33.5,34.9
"Terre Haute, IN",310M200US45460,139557,57.8,53.0,8.2,10525,41.6,32.6,21.8,15097,68.9,61.0,11.5,43155,74.6,68.8,7.3,23495,73.1,68.0,6.9,21932,59.0,55.7,5.6,13860,21.2,19.9,6.3,11493,5.7,5.5,4.0,103679,70.1,64.7,7.5,17657,48.6,37.3,23.2
"Texarkana, TX-AR",310M200US45500,117574,56.3,51.4,8.6,7501,30.9,23.1,25.3,9393,67.4,54.4,19.1,39262,75.5,69.6,7.6,20498,70.8,66.6,5.7,18577,53.6,50.3,6.2,12767,23.2,21.7,6.6,9576,5.2,5.2,0.0,87730,68.9,63.2,8.1,14276,50.6,34.5,31.9
"The Villages, FL",310M200US45540,96291,25.6,22.7,11.3,2003,28.5,17.6,37.1,2630,65.9,51.5,21.8,13984,50.2,44.8,10.7,8518,57.4,50.3,12.3,18637,32.5,29.3,9.6,32653,11.4,10.9,3.9,17866,3.9,3.2,17.7,43769,45.0,39.7,11.7,5430,45.6,29.8,34.7
"Toledo, OH",310M200US45780,484157,64.4,57.1,11.2,37035,46.6,30.4,34.8,50771,76.7,63.7,16.8,149653,84.0,75.1,10.5,84079,79.8,73.6,7.7,78947,63.2,58.6,7.2,44893,24.6,23.5,4.4,38779,5.2,4.9,5.8,363450,77.5,69.6,10.1,66545,56.2,37.4,33.3
"Topeka, KS",310M200US45820,182784,65.4,60.7,7.1,11849,50.1,37.4,24.9,13532,78.5,69.9,10.9,56006,84.9,79.0,6.6,33024,84.5,80.1,4.9,32019,66.7,63.4,4.9,19617,26.9,25.6,4.9,16737,6.0,5.8,3.5,134581,79.8,74.6,6.2,18449,54.8,41.4,24.6
"Trenton, NJ",310M200US45940,297734,66.4,59.5,10.4,22888,37.2,27.8,25.2,28480,71.2,59.0,17.1,97176,82.9,74.9,9.5,55310,84.4,77.2,8.5,45194,68.8,63.9,7.2,25772,33.6,30.3,9.8,22914,7.9,7.4,6.4,226160,79.0,71.2,9.7,22745,51.3,32.8,36.0
"Tucson, AZ",310M200US46060,796692,59.5,52.5,10.8,57685,38.0,25.1,33.5,84510,73.3,59.3,16.9,239161,80.8,71.9,9.6,125341,78.6,72.3,7.7,125411,60.4,55.9,7.5,90914,21.0,19.4,7.5,73670,4.5,4.3,4.8,574423,74.8,66.6,9.8,103804,55.1,37.4,32.1
"Tulsa, OK",310M200US46140,738859,64.5,59.9,7.0,50026,43.0,33.5,22.1,62767,77.6,68.4,11.8,250058,81.6,76.2,6.5,130037,79.6,75.3,5.3,117007,64.3,61.4,4.5,73113,27.1,26.0,4.1,55851,7.0,6.7,3.2,559869,77.1,72.0,6.5,72746,50.3,36.7,26.8
"Tuscaloosa, AL",310M200US46220,188906,57.7,52.4,9.1,17006,23.0,16.8,26.8,28139,64.6,54.3,16.0,59907,79.6,72.5,8.7,28571,72.0,68.8,4.4,27050,54.4,51.7,4.9,15839,19.8,19.0,4.3,12394,6.9,6.6,4.6,143667,70.4,64.3,8.6,25694,44.2,31.5,28.6
"Tyler, TX",310M200US46340,166594,62.3,57.4,7.7,12424,38.4,28.1,26.7,16289,74.7,64.9,12.4,53802,83.2,77.7,6.5,27097,77.8,73.1,6.0,25174,61.8,58.9,4.7,17329,25.6,24.4,4.6,14479,6.5,6.2,6.0,122362,76.5,71.1,6.9,18004,58.9,48.1,18.3
"Urban Honolulu, HI",310M200US46520,785129,66.2,57.6,5.9,45980,37.2,25.3,24.6,78598,77.6,55.4,10.0,270575,83.6,70.8,5.7,126562,83.9,79.3,4.0,115561,70.3,67.5,3.9,76422,30.8,30.1,2.3,71431,6.2,6.0,3.7,591296,80.3,69.9,5.4,51888,49.2,37.6,21.8
"Utica-Rome, NY",310M200US46540,241758,60.1,55.0,8.3,16680,40.4,30.7,24.0,20389,72.4,61.4,14.8,69240,80.7,73.4,8.7,44464,78.8,74.8,4.9,40294,63.0,59.7,5.3,26011,23.8,22.7,4.8,24680,5.4,5.3,2.6,174387,75.1,69.2,7.7,24517,46.5,32.4,30.1
"Valdosta, GA",310M200US46660,111022,61.4,50.8,13.5,9831,39.5,25.8,31.8,17175,74.4,54.9,20.0,36521,78.8,64.8,12.7,17278,71.6,63.6,10.1,14503,55.6,52.3,6.0,9195,21.9,20.7,5.5,6519,4.8,4.7,1.9,85477,72.5,60.4,12.7,20893,58.3,39.5,31.7
"Vallejo-Fairfield, CA",310M200US46700,333972,64.2,55.1,12.1,23011,37.6,24.8,31.9,30762,79.1,57.8,21.2,111165,79.7,68.0,11.9,62064,79.7,72.1,9.0,54659,62.9,58.0,7.9,30229,25.1,23.6,5.9,22082,5.8,5.6,4.4,258650,76.1,65.6,11.5,29534,58.3,35.2,39.5
"Victoria, TX",310M200US47020,74511,63.5,59.1,6.9,5601,46.2,37.9,18.0,6217,74.6,65.5,11.5,23747,84.2,78.1,7.1,12918,79.6,76.5,3.9,12115,63.1,60.4,4.3,7705,22.3,21.4,3.8,6208,7.8,7.4,5.2,54997,77.4,72.4,6.3,7724,55.4,42.1,23.6
"Vineland-Bridgeton, NJ",310M200US47220,124247,58.1,50.3,13.3,8029,35.9,21.7,39.6,10839,77.1,62.8,18.4,44763,70.3,60.6,13.5,21921,71.1,65.3,8.1,18159,58.8,53.3,9.4,11284,24.8,21.2,14.6,9252,4.6,4.4,3.3,95682,69.1,60.6,12.2,13838,49.4,33.5,32.1
"Virginia Beach-Norfolk-Newport News, VA-NC",310M200US47260,1351489,67.5,57.1,8.3,95572,41.5,25.8,28.3,148317,78.1,53.0,15.1,460620,85.1,70.6,7.8,241530,81.7,75.7,5.6,196997,66.9,63.7,4.6,118892,25.8,24.9,3.5,89561,5.6,5.4,4.5,1047464,79.9,68.0,7.6,107375,56.0,38.9,29.8
"Visalia-Porterville, CA",310M200US47300,322441,61.4,53.0,13.5,29849,28.3,18.2,35.6,34546,70.1,56.6,19.2,118634,77.6,67.6,12.6,52442,77.2,68.6,11.0,42237,60.4,54.6,9.6,25271,23.3,21.2,9.0,19462,6.5,6.1,5.9,247859,73.5,64.1,12.7,59250,56.3,40.5,27.9
"Waco, TX",310M200US47380,200720,60.6,56.3,7.0,18452,31.0,25.6,17.2,25794,66.7,60.4,9.5,62173,80.0,74.8,6.4,31894,79.1,74.4,5.9,28639,62.9,59.6,5.2,17822,25.8,24.3,6.2,15946,7.2,7.1,2.1,148500,74.2,69.3,6.6,28897,52.4,42.3,19.4
"Walla Walla, WA",310M200US47460,51054,58.2,54.1,6.9,4156,42.7,37.1,13.2,5563,78.0,70.2,9.9,14690,70.4,65.5,6.8,8227,74.3,70.1,5.7,8282,69.3,66.1,4.7,5112,22.0,20.9,5.2,5024,5.6,5.6,0.0,36762,72.2,67.3,6.6,5367,59.0,46.8,20.7
"Warner Robins, GA",310M200US47580,144007,62.5,54.3,10.7,11411,38.9,23.5,39.3,14100,67.4,47.9,24.1,49827,79.4,69.7,8.6,26740,80.3,73.8,6.8,20864,57.9,54.9,5.0,12399,21.4,20.0,6.5,8666,4.0,3.9,2.6,111531,74.1,65.2,9.3,16624,50.7,33.5,33.4
"Washington-Arlington-Alexandria, DC-VA-MD-WV",310M200US47900,4635879,72.5,66.7,6.9,303363,34.2,25.5,24.7,383976,76.2,63.8,13.9,1770793,87.8,81.1,6.0,874390,87.0,82.0,5.0,677307,73.4,69.5,5.2,369553,35.3,33.7,4.4,256497,8.0,7.7,4.6,3706466,83.8,77.4,6.4,278566,56.3,39.0,30.5
"Waterloo-Cedar Falls, IA",310M200US47940,136086,67.3,62.4,7.3,10518,51.3,36.4,29.1,18318,82.1,73.3,10.7,39718,88.3,82.6,6.4,20734,85.7,82.3,3.9,21260,68.2,66.4,2.6,13077,24.5,23.4,4.6,12461,5.3,5.1,3.9,100030,82.4,77.4,6.0,14374,61.2,46.4,24.2
"Watertown-Fort Drum, NY",310M200US48060,91718,65.5,48.5,11.3,5875,50.7,27.5,27.7,12094,79.6,40.0,15.5,33724,80.2,57.9,11.2,14381,79.2,70.3,9.3,11969,59.1,55.5,5.7,7527,21.1,18.4,13.0,6148,6.0,5.7,5.7,72168,76.4,56.9,10.5,9293,52.2,31.2,37.8
"Wausau, WI",310M200US48140,106643,70.2,65.4,6.8,7278,55.4,47.7,13.9,7448,87.4,76.9,11.8,33267,89.0,83.2,6.3,20598,89.5,84.8,5.2,17724,73.6,69.8,5.2,10716,25.9,24.1,6.8,9612,5.2,4.7,10.0,79037,85.5,80.0,6.3,7536,66.0,47.3,28.3
"Weirton-Steubenville, WV-OH",310M200US48260,101711,55.2,50.4,8.6,6460,31.1,24.9,19.9,7477,65.7,55.6,15.3,26715,80.0,73.4,8.2,17917,75.9,69.6,8.3,19451,57.5,54.2,5.8,12401,21.1,20.0,4.9,11290,4.1,3.7,8.9,71560,71.4,65.4,8.4,11215,43.0,28.8,33.1
"Wenatchee, WA",310M200US48300,87477,62.8,57.3,8.7,6161,38.8,25.6,34.1,6866,80.7,69.6,13.8,26421,83.6,76.5,8.5,15018,81.9,78.0,4.6,15247,64.9,60.9,6.0,9836,22.8,21.0,7.8,7928,5.9,5.8,1.5,63552,78.4,72.4,7.6,8200,55.5,42.6,23.3
"Wheeling, WV-OH",310M200US48540,121406,56.8,52.4,7.7,7359,36.7,30.4,17.1,9074,67.0,55.3,17.3,34220,78.1,72.0,7.7,21071,76.9,72.4,5.9,22826,58.8,56.1,4.6,13922,22.4,21.2,5.2,12934,5.5,5.4,2.5,87191,71.6,66.2,7.5,12157,47.1,35.1,25.4
"Wichita, KS",310M200US48620,485760,67.1,61.4,7.7,35475,45.2,35.0,22.1,43091,80.4,69.5,12.1,163420,84.4,77.3,7.1,85892,83.1,77.9,6.0,76877,68.1,64.7,5.0,42637,26.2,25.0,4.6,38368,6.6,6.4,3.0,369280,80.2,73.9,7.0,47144,58.5,42.3,27.6
"Wichita Falls, TX",310M200US48660,120521,62.3,53.4,6.4,9686,51.2,28.1,20.2,13857,81.8,55.5,11.1,38177,75.5,66.2,5.7,19881,76.1,72.3,4.7,17741,61.6,59.4,3.6,11151,28.4,27.6,2.8,10028,7.6,7.2,5.5,89656,73.8,64.5,5.8,11840,50.1,40.3,19.3
"Williamsport, PA",310M200US48700,95528,61.5,56.2,8.5,6516,43.6,33.3,23.8,8788,70.9,60.4,14.9,27380,82.4,75.7,8.1,16961,81.1,77.1,4.9,16214,63.5,59.3,6.6,10105,25.6,23.7,7.3,9564,4.8,4.4,8.9,69343,76.2,70.3,7.8,9041,52.9,36.4,31.3
"Wilmington, NC",310M200US48900,215969,64.5,57.4,10.2,14358,44.4,29.0,34.8,22656,75.4,62.1,15.4,69530,86.0,77.9,8.3,35728,77.4,70.1,9.1,34031,63.7,59.5,6.6,23120,24.8,23.5,5.4,16546,5.8,5.5,5.7,161945,77.9,70.1,9.2,27948,57.0,40.8,28.2
"Winchester, VA-WV",310M200US49020,104020,63.7,59.0,7.1,6782,40.4,30.7,24.0,7890,74.2,66.9,8.8,33497,81.8,75.2,7.9,19840,80.1,77.0,3.7,16786,65.7,62.2,5.3,11300,24.8,23.1,6.9,7925,6.6,6.3,4.7,78013,77.2,72.0,6.4,8065,44.5,32.7,26.5
"Winston-Salem, NC",310M200US49180,514122,62.2,55.8,10.2,35010,33.7,22.2,34.2,40835,71.8,59.4,17.2,162475,83.1,75.3,9.2,95771,80.6,73.7,8.4,83569,62.6,58.0,7.3,54712,22.1,20.9,5.4,41750,4.8,4.5,4.9,382650,76.8,69.4,9.5,60936,55.3,37.5,32.1
"Worcester, MA-CT",310M200US49340,743152,67.6,61.5,8.8,55081,43.3,33.7,22.3,63185,75.2,64.6,13.8,232954,84.7,77.5,8.3,148379,84.4,78.1,7.3,119297,71.6,67.0,6.3,66539,29.7,27.6,7.1,57717,5.5,5.2,5.4,563815,80.8,74.0,8.2,58162,47.0,30.6,34.7
"Yakima, WA",310M200US49420,179724,62.0,55.7,10.0,14907,36.8,26.2,28.7,17568,71.1,60.4,14.7,61719,79.1,71.2,9.9,29433,78.3,73.0,6.8,26255,64.6,60.5,6.3,16564,24.5,22.6,7.8,13278,4.2,4.2,0.0,134975,75.1,68.1,9.1,25919,51.9,37.8,27.2
"York-Hanover, PA",310M200US49620,349859,67.4,61.7,8.3,22925,48.6,35.1,27.7,25983,80.7,68.8,14.7,109153,86.0,79.6,7.2,67724,85.0,79.8,6.0,58579,68.7,64.4,6.3,36174,27.5,26.0,5.2,29321,6.6,6.3,4.4,261439,81.3,75.2,7.4,23902,51.4,34.0,33.8
"Youngstown-Warren-Boardman, OH-PA",310M200US49660,456448,57.9,52.3,9.4,29657,42.5,32.0,24.8,34270,73.6,61.5,16.3,124744,79.9,72.2,9.5,81490,79.1,73.7,6.7,82895,59.2,55.6,6.1,52402,20.2,18.9,6.8,50990,4.6,4.4,5.1,323399,73.8,67.2,8.8,48309,51.1,34.5,32.4
"Yuba City, CA",310M200US49700,126841,59.8,49.0,15.4,9607,34.4,16.0,51.8,12301,73.9,49.7,25.0,44102,77.1,63.8,13.9,21623,73.8,66.8,9.1,18263,55.9,49.8,10.8,11698,24.7,21.0,14.8,9247,4.9,4.2,15.6,96289,71.9,60.0,13.6,16262,50.3,31.9,36.6
"Yuma, AZ",310M200US49740,153342,55.3,46.0,13.4,12636,33.4,23.0,27.5,16947,73.0,49.9,19.0,48818,77.6,66.1,12.0,22629,76.7,68.4,10.7,19343,52.8,46.2,12.6,17918,12.8,11.3,11.6,15051,3.0,2.9,2.8,107737,72.2,60.5,12.7,18596,55.6,37.8,31.9
