MSA,pop_2014,electricity_kwh,nat_gas_cuft,fueloil_gal,vmt,hh_2014,cf_transport_phh,cf_housing_phh,cf_food_phh,cf_goods_phh,cf_services_phh,cf_phh,cf,msa
"Abilene, TX",160828,35714.08877437216,98701.11857852465,1.336684834728391,76234.63477127347,65492.0,15.927517077549922,12.674110359415604,7.667712808624119,4.616458172672405,5.004892400080426,49.14409753647679,3218545.235858938,0.0
"Akron, OH",678301,23257.03763268614,121455.1091128983,79.04694775612907,47008.85859610047,160668.0,15.993912602580654,11.746599327191054,7.5174716935491785,5.391050439101379,6.071774668149753,50.96812200596162,8188946.226453842,0.0
"Albany, GA",141811,38975.470766070895,85814.67258747296,9.16219553635034,72787.5040179585,57134.0,14.36008480076761,13.990202241029651,7.972295781728673,4.684970029803055,5.050887630011552,46.4283230430785,2652635.808743247,0.0
"Albany-Lebanon, OR",108795,11139.12163077854,36096.69531641208,18.554493273202578,26802.912183464312,44491.0,18.007040722973862,10.646117288900333,7.8096332552047425,4.9958286067919895,5.498124793757229,54.317668101701685,2416647.37151281,0.0
"Albany-Schenectady-Troy, NY",820825,36802.45428727457,233221.91310516032,1181.3358349483967,103020.43596290163,392206.0,14.195390295496106,10.778376485287831,7.221763228325503,5.349726662818226,6.058856615943101,47.02112709807904,18441968.17462919,0.0
"Albuquerque, NM",729083,49890.51321443621,147251.7358652606,4.0248098271049315,101942.76060190292,305713.0,15.594704502348142,13.531895135128009,7.77556277855575,5.051709848839096,5.576699752422495,49.59338138451363,15161341.403203815,0.0
"Alexandria, LA",145729,27944.85469865776,59364.8157538707,1.718216071802367,49026.46411916941,60871.0,15.27969653733466,16.886352360253415,7.722231881908756,4.421471259960244,4.732537835407684,47.435634051946,2887454.480376005,0.0
"Allentown-Bethlehem-Easton, PA-NJ",745906,38018.849965035406,144950.46470470313,1348.5454644744796,90261.49624249127,309660.0,15.499600141850172,14.279527008090502,7.553688660830791,5.432042888834642,6.12233587603413,50.10726770939991,15516216.518892776,0.0
"Altoona, PA",131508,10020.002431813347,59215.28455994963,196.68224110549752,20193.663191592907,56226.0,13.745463093158131,14.524194349943317,7.299264987681359,4.557051892927865,4.977957841403433,44.32520090832893,2492228.7462717025,0.0
"Amarillo, TX",227957,59325.85968534513,217197.82349052865,10.363516653829263,145690.11987430818,172812.0,16.38534340300881,15.328733053102976,7.748002790859824,4.866920007662333,5.332568415014356,50.71817801955414,8764709.77991519,0.0
"Ames, IA",106500,21371.070525216564,114795.1515608689,8.423142887552682,51323.90970187807,41802.0,16.841483057251846,16.090336729899867,7.242494617806277,5.01015583574782,5.596739958574303,51.53235652663209,2154155.567526275,0.0
"Ann Arbor, MI",310313,10793.724254611434,65590.12912655233,12.806638155300037,22945.774750010474,126641.0,16.212216334416567,17.092564737742666,7.1906012961106995,5.736758816768031,6.5925429284945,51.94433571020637,6578282.618676244,0.0
"Anniston-Oxford, AL",120033,13273.631098603975,33694.93715457804,2.396874897994686,23951.699924187516,54608.0,16.014863553548334,14.996900586537592,7.316130064232335,4.500579487032623,4.896249660639279,48.74268631900091,2661740.6145080016,0.0
"Appleton, WI",198815,21520.378772513326,117228.56764474898,161.67139226694275,55505.08815555586,77756.0,18.272680668869263,16.559625146791856,7.843095456469922,5.703925639317412,6.448043065884955,56.540425499410816,4396357.325132187,0.0
"Asheville, NC",368518,40107.658478244215,106825.30841184656,1082.3509263606581,88857.55073796862,175081.0,14.968001350355317,14.439024014025746,6.98928914523583,4.741887825233673,5.271401444216681,46.93858111539682,8218053.720264791,0.0
"Athens-Clarke County, GA",164194,51362.813936838495,129410.7802655833,19.579611481151186,110726.44473820418,67360.0,15.951849888023105,13.494858332911207,7.451094357150136,4.624701577661832,5.0467547592816,49.02625047013977,3302408.2316686152,0.0
"Atlanta-Sandy Springs-Alpharetta, GA",4262856,414037.35521107033,1069843.8241086379,171.40319940564677,827292.2866899208,2089256.0,17.3613732053635,16.41017456566177,8.084271449644433,5.939305848471176,6.730948287553275,55.47727199639588,115906223.38210207,0.0
"Atlantic City-Hammonton, NJ",252646,9521.63349308552,54189.73750097205,134.07231153119932,18434.57135676005,113841.0,13.087553583345017,12.994348385089186,7.820231945093133,5.3602522253989315,5.986821769687109,45.3424131068692,5161825.650499097,0.0
"Auburn-Opelika, AL",113557,11882.267843920677,28456.71252798079,0.9415479044200059,22894.779432355557,67911.0,15.317324707738834,13.283138857586087,7.323928951980064,4.424579657093736,4.794325651560264,47.17748367611173,3203870.0939284237,0.0
"Augusta-Richmond County, GA-SC",504432,92854.66352666156,231973.68896738425,118.28080707964969,165363.5535135591,290037.0,16.3653681701071,15.38386487397319,8.011225526273511,5.210064671964557,5.757180147704875,51.70920668615715,14997583.179632962,0.0
"Austin-Round Rock-Georgetown, TX",1256103,62891.682733052825,137019.09259057918,5.153642179014728,144420.65516413108,1160429.0,19.64160607453515,13.099161440091176,8.159399465581561,5.926405206439877,6.701421036132675,60.07043785722442,69707478.13222107,0.0
"Bakersfield, CA",658764,8409.748545933215,40608.61011364892,0.39849025429070567,22564.29307308839,232488.0,15.154155148839111,8.591914101398656,9.371818724156144,5.014002199556606,5.29653698661649,49.990668208007456,11622230.470343238,0.0
"Baltimore-Columbia-Towson, MD",1810736,64507.08774905815,209355.39113392608,793.3074982349235,143086.40652017485,770734.0,18.719054384527723,14.424549336392658,7.840722373480307,6.336748287453176,7.301976926020614,58.91755635600954,45409763.88049266,0.0
"Bangor, ME",146681,6353.180827014686,21680.246588864426,668.336234389602,22541.957145097185,67696.0,15.262419339285278,14.976235307084162,7.172646968591708,4.637612764519222,5.105622018065685,47.44072042974717,3211547.0102121644,0.0
"Barnstable Town, MA",224424,8013.846968090697,44144.57512752851,315.16196801335144,19853.23936388265,148253.0,14.127718348903503,12.9359838415583,6.9199204630520805,5.3925809689084785,6.159716397188098,46.727654526955654,6927514.966584757,0.0
"Baton Rouge, LA",714596,133109.6832814059,266991.04391777137,19.863818681204595,223866.6405695945,285621.0,16.350075800876727,12.591273472046492,7.999379861070599,4.988263967047567,5.459290343253018,51.14708577312464,14608681.785605632,0.0
"Battle Creek, MI",138066,11128.459062415695,69856.95934370751,30.770698997550184,23003.173337389366,58922.0,15.714928578792472,18.034698736579887,7.429030246403894,4.975630628714464,5.521726759317953,49.35624479202126,2908168.6556354766,0.0
"Bay City, MI",106984,11131.196573171661,73318.9971705156,18.119627407418843,24294.7644414118,45260.0,16.4898795946707,18.105630222943315,7.389969621625663,4.9310536716294795,5.469306873225831,50.77008935582237,2297854.2442445206,0.0
"Beaumont-Port Arthur, TX",386935,37262.48815014053,83613.87694677668,1.6583954809934505,75700.7072987002,157529.0,15.752163440721235,11.687236676925775,7.794709261577086,4.807359551681015,5.244243886818672,49.35063958151924,7774156.902637145,0.0
"Beckley, WV",125509,25444.21097393301,91075.50424211426,58.02973993890724,42213.90588316445,56776.0,14.084362925580415,16.82684337561575,7.170615772684938,4.174961039443397,4.4805907361046104,43.99489339939377,2497854.0676439805,0.0
"Bellingham, WA",165428,11287.154002476815,39816.92858682492,17.71670769953162,23509.526083855213,71412.0,16.03882252871326,10.875657287519168,7.590141451265809,5.034672472069766,5.5793751617755865,50.28183414253769,3590726.3397869016,0.0
"Bend, OR",114150,10920.410130289836,36235.02021792655,18.75466903352482,25274.191607533947,54127.0,17.228364184283937,10.61806399646648,7.509878318002627,5.174654717094919,5.781911181154757,52.92317258482017,2864572.5624985616,0.0
"Billings, MT",147301,29715.650912224333,167595.1787995633,12.827747177288243,82838.83462485534,64092.0,16.98894317163883,11.554212067458444,7.310577137458943,4.852797724638721,5.375785258871647,51.51704646424697,3301830.5419865167,0.0
"Binghamton, NY",256761,14761.312316500655,90422.19368686642,453.2935887047282,42607.82320234468,112175.0,13.579216321523166,10.575176277608438,7.287575103097048,4.8174694847760495,5.3297437381403086,44.593220969059736,5002244.562204276,0.0
"Birmingham-Hoover, AL",922420,69046.51854927214,160863.55061916134,10.392669040353713,135206.92495674902,617890.0,17.759044591858714,15.935755561748547,7.614700498591163,5.4396145603032435,6.123133797980967,54.695538040592794,33795825.99990188,0.0
"Bismarck, ND",96110,34776.903927911044,145081.68022524624,34.45413787425139,92186.3285362236,40381.0,18.078155198604847,17.506606824047967,7.34746187988713,5.020038455374905,5.595555173568834,54.11936590604057,2185394.1146518243,0.0
"Blacksburg-Christiansburg, VA",132312,31196.606427759292,86181.67139446537,439.1648327106685,75722.67841340606,54918.0,16.425808853643392,14.719233437950127,7.138765698574212,4.509211088058516,4.935361743495368,49.43495623741488,2714868.9266463504,0.0
"Bloomington, IL",151167,12406.779889164207,64486.51516413201,4.137591561554984,24313.386307858196,60283.0,16.89109026198505,19.2700813377532,7.391646192621406,5.548245732065151,6.300701305684903,53.022773754341564,3196371.8702329723,0.0
"Bloomington, IN",133489,22114.446211924434,75223.47270123358,35.32343559608982,50567.36668242533,60102.0,15.341360418480134,14.431263858135695,6.95080885179036,4.575184900011949,5.051196574611006,47.25991116337359,2840415.180741079,0.0
"Bloomsburg-Berwick, PA",86114,19292.730064446372,68112.12261931437,586.4766529403514,43024.22426343233,37162.0,14.590215536016485,14.012331280723659,7.261513016369134,4.699036470390164,5.175395449041273,46.31637600783353,1721209.1652031098,0.0
"Boise City, ID",465529,51492.27690266488,178428.57693611886,173.42984962687157,135900.86985013392,181079.0,18.077422322392177,11.62033385844559,8.09192241716183,5.313292881237545,5.884092225593345,55.44415216877708,10039771.630569985,0.0
"Boston-Cambridge-Newton, MA-NH",4385472,52312.65699364968,290438.9626912718,2685.78592754486,166338.02432620846,1748515.0,16.276112994894596,13.136182408513518,7.666608636376629,6.198474392063076,7.140538412493567,53.55784743072247,93646699.6003297,0.0
"Boulder, CO",270539,9540.879580518213,56456.81077672981,1.2821386143026017,23619.747108549967,115242.0,16.762102981198847,16.362687979685706,7.3683055677739615,6.008980532835108,6.927190460225827,53.828682523232594,6203325.03134237,0.0
"Bowling Green, KY",134742,53887.31546948077,119118.65066366363,47.46954622584681,97690.57417053984,57489.0,16.015389324278832,15.548987050221212,7.4560294706278984,4.613699163325907,5.033075349842953,49.133582632354425,2824640.5319514237,0.0
"Bremerton-Silverdale-Port Orchard, WA",232129,11220.875317940452,32991.64020458358,55.035595457340115,26487.888617966735,92718.0,18.179434668851815,11.118820845007441,7.876152871894507,5.591894416191152,6.292064679624066,56.11898130541336,5203239.708675316,0.0
"Bridgeport-Stamford-Norwalk, CT",825395,8029.257092299452,36422.37648850257,452.64284331769295,25898.776504582653,318510.0,18.8326774975019,14.227749094848557,8.051871588754475,7.236573603797205,8.487206245157251,61.44100643271274,19569574.958883334,0.0
"Brownsville-Harlingen, TX",335184,13351.698462325037,24460.617334604754,1.0698922597238096,20515.153993030694,119638.0,13.397725746481207,12.975482087264195,10.333290491192896,4.479132885867318,4.436799435160468,46.0446743051831,5508692.744523495,0.0
"Brunswick, GA",91000,38715.03658416002,80934.55777530413,11.547133705735407,69028.09908013864,43994.0,15.049040507765604,14.332413773716466,7.488118129290494,4.875337999945175,5.378649701365123,47.840186846132,2104681.180108731,0.0
"Buffalo-Cheektowaga, NY",1167396,16138.757305659065,142787.97610041642,94.75836309707591,37816.04863428946,510423.0,13.009314889147557,10.48944334590798,7.313389166678726,5.0508437356069384,5.641954714215822,44.0248173947966,22471279.369104266,0.0
"Burlington, NC",135602,11739.821651920265,38379.31679166137,40.683759470737904,23244.43607026445,57410.0,15.845644908626044,12.532491262483967,7.424137180867539,4.940764826489357,5.478505820656215,49.534697645265204,2843786.9918146753,0.0
"Burlington-South Burlington, VT",199643,23034.656235211238,107131.6356944674,1238.9239567379002,72798.7500505141,83084.0,17.1994908804119,13.049163743933775,7.58593084357207,5.487188880460795,6.1923605007972835,53.66446198565395,4458658.159616073,0.0
"Canton-Massillon, OH",424830,22050.897498785867,98529.08428617225,133.97476934392034,47161.90539600514,176891.0,15.548519071041849,17.159631938046886,7.529553444366948,5.082860968808031,5.65423067600344,49.363683231262115,8731991.290461186,0.0
"Cape Coral-Fort Myers, FL",442567,11248.317421823387,13641.56130353563,1.3598478320042235,18631.32443223286,246633.0,13.152078513826732,10.940971443804882,7.0367532599583775,5.069068351983239,5.706517365188677,44.11649600478376,10880583.759147834,0.0
"Cape Girardeau, MO-IL",87973,35102.59231903748,109832.81899042966,10.668885073729138,67440.76119816824,38452.0,15.099437246690213,16.988025196957135,7.313169613842678,4.676936011590945,5.137949428441459,47.32692954725551,1819815.0949510687,0.0
"Carbondale-Marion, IL",132682,31355.686450103087,106072.37497375235,12.1998624793049,67727.60014495031,59076.0,14.390252639324055,15.17070303665801,6.891870340412121,4.284996486784037,4.669393250257794,44.62676535610206,2636370.7901770854,0.0
"Casper, WY",66461,10004.778588398909,63048.432523815216,0.4049410031814217,24862.105400159493,29794.0,16.787221426842873,13.96717668974617,7.284562976783377,4.822249403040718,5.337752594098194,51.019007827608036,1520060.3192157538,0.0
"Cedar Rapids, IA",237132,33301.88138539538,157526.89878846906,94.34430428020482,83439.56842261866,98990.0,17.499675544678915,17.042793568146283,7.376979963049546,5.401235981254733,6.104183336285525,53.881750369947646,5333754.469121117,0.0
"Chambersburg-Waynesboro, PA",121700,9932.483835663674,31261.64713129117,254.77359031781984,23640.386811832373,50862.0,16.162339966807686,16.26649672945626,7.461614543960557,5.065847171004179,5.641932445664213,50.49407409424432,2568229.5965814544,0.0
"Champaign-Urbana, IL",195459,24232.645833510876,117510.13094083723,13.649159268961553,50758.87012891104,81834.0,14.81554692581485,17.111866563450725,7.062145938216078,4.903692833804451,5.478815325205126,47.07574794885536,3852396.757646629,0.0
"Charleston, WV",288598,69851.63352165093,229161.9838499635,36.09119992407156,114355.43408981455,133531.0,14.718235694336368,17.805274823006506,7.081401761255306,4.5077247164900465,4.9413772171623656,45.96697508358046,6138016.149885582,0.0
"Charleston-North Charleston, SC",546854,38069.446064073345,88235.41804919805,35.12801655014013,68635.09863034885,334661.0,15.253038134973984,12.183665584161556,7.855234843707492,5.087289996614877,5.6127724377426365,49.06137354801297,16418928.33295157,0.0
"Charlotte-Concord-Gastonia, NC-SC",1745826,136560.53320592956,378278.7449686131,783.7040417285907,270560.0710443749,739184.0,16.371317491216526,13.107649042526004,7.69864575366159,5.4842298888342595,6.171690652279802,52.09720127720871,38509417.62889224,0.0
"Charlottesville, VA",118088,48360.474388359085,107380.9694322019,496.3134187891484,119880.60691450357,74227.0,19.411697400766286,14.405249148458442,7.491030131953689,5.5971393884338845,6.35426751744796,58.26583183936811,4324897.899940777,0.0
"Chattanooga, TN-GA",469794,76020.49792527402,185338.54968846802,96.65105315271789,160741.85019451048,202469.0,16.805118445194076,14.789661237252265,7.416086602270651,4.933275277666678,5.4683409017591895,51.42793967208467,10412563.51746731,0.0
"Cheyenne, WY",81630,10338.373804103532,65016.956735182386,0.5535488660659188,25017.392613009924,33484.0,17.02181289359848,13.443707453543038,7.375788313120176,5.064550542835392,5.651725817389653,52.13569046054218,1745711.4593807943,0.0
"Chicago-Naperville-Elgin, IL-IN-WI",9093815,180996.40978138772,984343.3393791748,77.86730703458235,386115.05590062396,3564640.0,15.590451149380137,17.817612772394718,8.364651597661787,5.985476926812058,6.752898246989504,52.28392907022363,186373384.92088196,0.0
"Chico, CA",202888,6508.919365293036,41842.96321873652,1.818354916941589,22849.72006722921,85714.0,15.331318815143588,8.03298360598449,7.471351632427741,4.528357306248154,4.9132702369424015,47.57561680590547,4077896.4189013815,0.0
"Cincinnati, OH-KY-IN",2002561,201905.22015035548,603067.2037760569,1112.5079135941758,440219.44360615243,1196119.0,16.88400196039799,16.37155801081264,7.777696207547919,5.585407699509426,6.29655202913408,53.427659856987404,63905839.08047991,0.0
"Clarksville, TN-KY",229001,52794.526989249876,122197.01590518751,22.108142085930034,97873.19539104782,89683.0,15.935113303825103,14.804410360687477,8.11796645233438,4.829637514589986,5.2274095792311455,50.045240153805715,4488207.272713758,0.0
"Cleveland, TN",103173,24849.050250429304,51498.57138768197,79.90086294762412,53040.68024433471,43813.0,17.353886274503406,14.060916095732367,7.496691370361056,4.685220003801881,5.1248358731989745,52.014519796368724,2278912.155838303,0.0
"Cleveland-Elyria, OH",2138269,61658.91228369648,303071.500977925,222.58204856032816,120989.33386926427,919320.0,14.05876938257688,17.142325816255994,7.438718663611715,5.310734064943785,5.974582548593534,46.841574042302796,43062395.8485698,0.0
"Coeur d'Alene, ID",110021,10343.51145604918,47917.0908667542,13.86004859287965,26671.318657347234,47148.0,17.879754642847,11.041851180106304,7.8234323447341865,4.9283982851487185,5.404044677722088,53.91538459329899,2542002.5528048608,0.0
"College Station-Bryan, TX",183751,36149.62282204074,81305.9827771,3.4600757930573405,70373.01352139455,74503.0,15.229236119587622,12.010407136393518,7.627373660415044,4.523643563166924,4.884843992698083,47.49433345545529,3538470.3254317855,0.0
"Colorado Springs, CO",539884,18494.325708029803,111261.35982466885,1.7844428582033627,52866.34450031964,213953.0,17.1196427068061,16.9847274634233,7.972417740843528,5.680265096414934,6.3976040859607455,54.289572336831405,11615416.87018209,0.0
"Columbia, MO",163606,37277.85711896932,127785.35045189894,7.353242933444289,70025.96337330708,68206.0,14.86661053516364,17.479715648304744,7.176403000791122,4.808786847741906,5.3347771818070395,47.05318810066734,3209309.7475941167,0.0
"Columbia, SC",635774,76713.22713631502,184152.6535550978,224.12348705143836,145019.29398990932,387006.0,16.534504957122085,12.498468001321777,7.604997570783025,5.228987829841748,5.840533914655631,51.743529229524576,20025056.273001388,0.0
"Columbus, GA-AL",293638,89576.73608188797,206641.7692888344,27.09691272532927,161808.2865104451,125115.0,14.268632677135999,14.863655906029017,7.845366194055824,4.725471913155785,5.128078081919651,46.23618154340326,5784839.853802899,0.0
"Columbus, IN",70883,12437.345693144238,49850.08845189439,11.774388255453696,26826.382602316495,29654.0,18.272136394124406,16.74577226838067,7.5833036129960645,5.329211258258609,5.9824879475447075,55.439275607048195,1643996.278851407,0.0
"Columbus, OH",1662832,117825.15202368185,471179.0499645708,434.0328450274592,267435.33047942456,1079050.0,17.016492766374427,17.197927331353185,7.687364097586762,5.977707129035234,6.838581862988173,54.53663862235903,58847759.905456506,0.0
"Corpus Christi, TX",384987,26808.731175544417,54406.92430965862,0.15563883198241718,46746.53527627677,150160.0,15.19126981913807,13.25031599868585,8.541278975636256,4.889908713468128,5.247861309761488,49.06158863714201,7367088.149753244,0.0
"Corvallis, OR",72682,9977.354418886956,34434.2623278965,11.456846714294468,23215.18144795135,30180.0,15.88016254114221,9.841113340346427,7.155732230813681,4.955154689560069,5.53622544556066,49.40743744821882,1491116.462187244,0.0
"Crestview-Fort Walton Beach-Destin, FL",212216,22720.655969250198,36181.50115977072,2.9615450428756174,42619.54024407834,107383.0,14.855657246009866,12.529512581478667,7.476675771920714,5.043384123897095,5.606744223511337,47.83811861134888,5137000.690842477,0.0
"Cumberland, MD-WV",104836,22988.032003724416,91346.68245581756,294.95554710008184,46618.29073173282,46374.0,15.138359104109194,17.155573078344236,7.156216090481629,4.415249423766122,4.805479076269623,46.65366279873576,2163516.958628572,0.0
"Dallas-Fort Worth-Arlington, TX",5176220,138679.39074650392,333616.3332509149,5.0919872031602775,328149.883682136,2573787.0,18.41480811322031,13.137217588947848,8.235148440262751,6.038241442990802,6.841622769562929,57.9446288792571,149137132.5292565,0.0
"Dalton, GA",121648,23010.303221269587,57046.007378060036,29.804838430856826,52451.47973802496,45787.0,17.44866257943905,13.416628123216311,8.366726668396089,5.038330708717626,5.473936118218128,53.77631865420994,2462256.3022203106,0.0
"Danville, IL",84302,11440.240934555479,60918.199294545986,5.4182303328868455,22754.7431377666,36502.0,15.401800224522859,17.997036443394382,7.283843918293755,4.680098715550309,5.146682157238351,47.914225240128125,1748965.049715157,0.0
"Daphne-Fairhope-Foley, AL",140260,13830.939013134968,27095.082601681268,1.0524960971221657,24739.944845287322,74201.0,16.844881845244913,14.75022924847204,7.5318522743476395,5.0961410116788,5.671358735655433,51.9891157121717,3857644.3749588523,0.0
"Davenport-Moline-Rock Island, IA-IL",376236,48145.85644748201,266468.37694296,33.8145939845246,103907.78095150387,158689.0,16.23914112906979,17.900707302119905,7.3797892326286165,5.1053691175569735,5.70637272196529,50.66981333029046,8040742.007570462,0.0
"Dayton-Kettering, OH",799750,33843.3999913816,151152.46123282568,99.19263631331998,68631.33455202449,343470.0,16.087989799904697,14.478728129916663,7.540229068335761,5.382567412802836,6.0580372810879926,51.156813362035976,17570830.685458496,0.0
"Decatur, AL",144463,26046.639518871718,60309.80384268952,14.30374989622242,53001.35566806428,61868.0,17.573893756448467,14.591504501260935,7.563760606391628,4.846394843532358,5.330098196821908,52.88804115964283,3272077.3304647827,0.0
"Decatur, IL",113269,11973.052862174969,63141.53557878684,1.391121386159565,22604.0134458678,49678.0,15.44855636527567,18.62915492491257,7.169912067732565,4.8719677953260705,5.421043827656064,48.36003642126604,2402429.889335654,0.0
"Deltona-Daytona Beach-Ormond Beach, FL",494312,21390.3248241888,29522.371510894114,27.924867859482443,40903.37749162031,236690.0,13.652055715963332,10.78211588830892,7.047715522571287,4.722133876496428,5.236634510428814,44.31059534142319,10487874.811361454,0.0
"Denver-Aurora-Lakewood, CO",2182295,100803.64023683796,562461.5402739759,5.996650989264388,271276.40283072897,2051553.0,17.23709196245349,16.954157512889125,7.824828333335568,5.935749750480839,6.762704032676679,54.99746604140007,112830216.44963244,0.0
