msa,auto_commuters,annual_excess_fuel_consumed_commuters,Annual Hours of Delay (Person Hours),AHD per Auto Commuter,tti,dvmt_freeway,ahd_truck,vmt_arterial
"Gainesville, GA",85,1599,3636,25,1.09,,161,
"Gastonia, NC-SC",104,1760,4474,25,1.09,,185,
"Gilroy-Morgan, Hill",66,1103,4031,35,1.2,,171,
"Glens, Falls",37,676,1580,22,1.05,,53,
"Goldsboro, NC",36,570,1336,19,1.08,,42,
"Grand, Forks",38,1085,2338,23,1.08,,65,
"Grand, Island",30,314,744,9,1.08,,26,
"Grand, Junction",76,689,1649,12,1.07,,70,
"Grants, Pass",31,541,1192,13,1.05,,74,
"Great, Falls",38,426,960,13,1.11,,32,
"Greeley, CO",79,1307,3312,26,1.16,,134,
"Green, Bay",121,1581,3703,16,1.06,,205,
"Greenville, NC",74,1942,4259,31,1.16,,130,
"Greenville, SC",245,5500,13331,30,1.15,,739,
"Guayama, PR",36,362,855,11,1.13,,165,
"Gulfport, MS",129,2386,5530,24,1.07,,160,
"Hagerstown, MD-WV-PA",112,1568,3367,16,1.04,,265,
"Hammond, LA",42,668,1294,17,1.03,,134,
"Hanford, CA",54,319,956,10,1.08,,58,
"Hanover, PA",38,562,1207,13,1.07,,60,
"Harlingen, TX",84,1469,3120,15,1.06,,127,
"Harrisburg, PA",267,5017,11662,35,1.1,,781,
"Harrisonburg, VA",42,745,1703,24,1.07,,44,
"Hattiesburg, MS",47,1018,2378,27,1.1,,74,
"Hazleton, PA",32,395,966,19,1.05,,41,
"Hemet, CA",105,809,1568,10,1.14,,98,
"Hickory, NC",132,1839,4441,19,1.05,,184,
"High, Point",99,1335,3037,15,1.05,,101,
"Hilton, Head",43,800,2065,21,1.17,,111,
"Hinesville, GA",30,298,719,11,1.08,,24,
"Holland, MI",61,562,1363,12,1.06,,48,
"Homosassa, Spr-Beverly",50,719,1600,16,1.08,,80,
"Hot, Springs",32,637,1635,23,1.07,,35,
"Houma, LA",85,1418,2700,17,1.08,,200,
"Huntington, WV-KY-OH",117,1634,3952,19,1.06,,198,
"Huntsville, AL",174,3782,10482,28,1.12,,267,
"Idaho, Falls",57,631,1397,11,1.06,,43,
"Iowa, City",71,878,2023,16,1.07,,95,
"Ithaca, NY",33,647,1637,28,1.17,,57,
"Jackson, MI",53,627,1575,17,1.07,,80,
"Jackson, TN",43,1178,2316,24,1.08,,174,
"Jacksonville, NC",63,1081,2557,20,1.11,,74,
"Janesville, WI",42,595,1528,19,1.07,,83,
"Jefferson, City",32,575,1537,22,1.09,,62,
"Johnson, City",72,1256,2686,18,1.06,,123,
"Johnstown, PA",41,373,830,12,1.06,,34,
"Jonesboro, AR",42,853,1995,26,1.09,,104,
"Joplin, MO",50,841,1825,21,1.08,,93,
"Juana, DÃ­az",40,147,350,8,1.19,,34,
"Kahului, HI",36,950,2074,23,1.15,,77,
"Kailua, (Honolulu",65,1432,3232,24,1.22,,147,
"Kalamazoo, MI",124,1625,3807,17,1.05,,116,
"Kankakee, IL",49,553,1158,13,1.05,,63,
"Kennewick-Pasco, WA",135,1809,4270,17,1.08,,224,
"Kenosha, WI-IL",72,1493,3148,23,1.11,,243,
"Killeen, TX",129,1599,3639,14,1.1,,151,
"Kingsport, TN-VA",62,884,2159,18,1.05,,100,
"Kingston, NY",64,797,2122,23,1.04,,86,
"Kissimmee, FL",207,7152,15656,35,1.21,,724,
"Kokomo, IN",38,379,844,9,1.06,,40,
"La, Crosse",60,866,1865,16,1.07,,84,
"Lady, Lake-The",70,858,1761,14,1.1,,91,
"Lafayette, IN",94,1391,2862,18,1.12,,170,
"Lafayette, LA",149,4163,7516,29,1.12,,785,
"Lafayette-Louisville-Erie, CO",56,617,1738,18,1.14,,42,
"Lake, Charles",86,2922,6287,38,1.17,,758,
"Lake, Havasu",32,215,498,6,1.07,,25,
"Lake, Jackson-Angleton",50,922,2205,22,1.08,,122,
"Lakeland, FL",168,2907,6359,18,1.1,,369,
"Lancaster, PA",232,3483,7871,19,1.08,,364,
"Lansing, MI",180,2139,5135,15,1.06,,163,
"Las, Cruces",77,1328,2978,19,1.08,,143,
"Lawrence, KS",55,744,1655,14,1.08,,58,
"Lawton, OK",59,476,1078,7,1.05,,45,
"Lebanon, PA",48,332,762,9,1.08,,38,
"Leesburg-Eustis-Tavares, FL",88,1421,2991,18,1.1,,171,
"Leominster-Fitchburg, MA",68,1025,2464,20,1.07,,85,
"Lewiston, ID-WA",31,353,770,11,1.08,,31,
"Lewiston, ME",36,659,1534,22,1.08,,88,
"Lexington, Park-Cal-Ches",36,553,1387,27,1.2,,42,
"Lexington-Fayette, KY",175,5165,10993,36,1.18,,580,
"Lima, OH",45,448,1016,12,1.06,,48,
"Lincoln, NE",160,2393,5316,17,1.09,,183,
"Livermore, CA",51,1520,4026,47,1.19,,205,
"Lodi, CA",41,1242,2786,38,1.17,,225,
"Logan, UT",62,492,864,8,1.07,,122,
"Lompoc, CA",30,222,502,8,1.1,,38,
"Longmont, CO",59,1059,2858,27,1.17,,91,
"Longview, TX",61,1643,3569,34,1.13,,196,
"Longview, WA-OR",39,677,1554,23,1.08,,83,
"Lorain-Elyria, OH",103,1355,2991,16,1.05,,191,
"Los, Lunas",37,376,838,9,1.08,,30,
"Lubbock, TX",145,2181,4929,19,1.09,,248,
"Lynchburg, VA",72,1546,3651,28,1.11,,79,
"Macon, GA",80,1548,3636,24,1.06,,232,
"Madera, CA",52,673,1486,15,1.11,,112,
"Manchester, NH",91,1693,4056,22,1.07,,203,
"Mandeville-Covington, LA",66,2029,4202,37,1.17,,398,
"Manhattan, KS",34,291,694,9,1.07,,28,
"Mankato, MN",35,300,768,10,1.06,,30,
"Mansfield, OH",45,500,1123,13,1.04,,52,
"Manteca, CA",52,1263,3197,37,1.18,,218,
"Marysville, WA",93,1615,4236,24,1.14,,197,
"Mauldin-Simpsonville, SC",84,1585,3707,27,1.2,,243,
"Mayaguez, PR",56,1593,4489,42,1.21,,391,
"McKinney, TX",134,1724,4003,19,1.11,,220,
"Medford, OR",97,1317,2930,15,1.08,,179,
"Merced, CA",84,871,2030,13,1.09,,135,
"Michigan, City-La",40,356,794,11,1.05,,56,
"Middletown, OH",60,519,1133,14,1.06,,64,
"Midland, MI",35,359,921,11,1.05,,25,
"Midland, TX",81,2718,4805,27,1.11,,501,
"Mission, Viejo-Lake",326,7773,23362,38,1.2,,1332,
"Missoula, MT",52,971,2263,24,1.13,,74,
"Mobile, AL",194,5148,12298,30,1.11,,515,
"Modesto, CA",207,4659,11489,30,1.22,,571,
"Monessen-California, PA",38,362,853,13,1.04,,46,
"Monroe, LA",70,1043,2210,18,1.08,,206,
"Monroe, MI",35,335,767,10,1.04,,44,
"Montgomery, AL",165,3075,7000,25,1.09,,279,
"Morgantown, WV",44,459,1089,12,1.06,,82,
"Morristown, TN",36,570,1294,22,1.09,,48,
"Mount, Vernon",40,682,1583,26,1.1,,79,
"Muncie, IN",53,473,1065,11,1.06,,76,
"Murrieta-Temecula-Menifee, CA",280,4980,13477,29,1.2,,614,
"Muskegon, MI",92,795,1852,11,1.05,,84,
"Myrtle, Beach-Socastee",152,3777,8900,33,1.14,,423,
"Nampa, ID",104,1226,3077,17,1.11,,98,
"Napa, CA",48,1820,4190,46,1.2,,164,
"Nashua, NH-MA",132,2306,5456,22,1.1,,262,
"New, Bedford",87,1458,3466,22,1.07,,146,
"New, Bern",29,387,922,12,1.07,,32,
"Newark, OH",45,1324,2871,19,1.14,,96,
"Norman, OK",63,1595,3803,38,1.13,,184,
"North, Port-Port",113,1541,3331,17,1.09,,134,
"Norwich-New, London",126,1589,3983,24,1.06,,226,
"Ocala, FL",100,2226,4704,27,1.1,,231,
"Odessa, TX",85,2737,4949,40,1.11,,449,
"Ogden-Layton, UT",328,4179,8503,14,1.1,,1268,
"Olympia-Lacey, WA",115,2283,5551,28,1.12,,246,
"Oshkosh, WI",48,458,1012,12,1.05,,48,
"Owensboro, KY",42,606,1188,15,1.07,,106,
"Palm, Bay-Melbourne",274,5429,11076,23,1.1,,563,
"Palm, Coast-Daytona",217,3512,7411,21,1.09,,332,
"Panama, City",92,2345,4861,31,1.15,,233,
"Parkersburg, WV-OH",40,458,1013,11,1.05,,47,
"Pascagoula, MS",29,357,870,15,1.07,,29,
"Peoria, IL",153,1578,3731,13,1.05,,133,
"Petaluma, CA",39,1380,3245,38,1.19,,149,
"Pine, Bluff",31,404,867,11,1.05,,34,
"Pittsfield, MA",34,522,1214,15,1.08,,35,
"Pocatello, ID",43,465,1040,13,1.07,,34,
"Ponce, PR",72,1172,2787,18,1.2,,155,
"Port, Arthur",88,1505,3388,22,1.09,,171,
"Port, Huron",50,710,1600,17,1.08,,129,
"Port, St.",241,4999,10029,23,1.11,,510,
"Porterville, CA",42,195,493,7,1.06,,17,
"Portland, ME",117,2463,5830,28,1.1,,251,
"Portsmouth, NH-ME",70,1209,3074,30,1.07,,161,
"Pottstown, PA",64,698,1603,15,1.06,,73,
"Prescott, Valley-Prescott",57,954,2054,20,1.09,,122,
"Pueblo, CO",82,1165,3125,20,1.11,,126,
"Racine, WI",77,1378,2886,20,1.12,,274,
"Rapid, City",53,840,2010,20,1.07,,76,
"Reading, PA",155,2469,5558,21,1.08,,263,
"Redding, CA",69,1358,3148,23,1.1,,156,
"Reno, NV-CA",244,4728,11229,26,1.13,,524,
"Roanoke, VA",122,2511,5684,25,1.1,,164,
"Rochester, MN",66,912,2323,19,1.1,,79,
"Rock, Hill",68,1272,3096,26,1.14,,152,
"Rockford, IL",169,2579,5627,18,1.07,,229,
"Rocky, Mount",41,537,1220,18,1.05,,37,
"Rome, GA",36,1184,2720,33,1.11,,98,
"Round, Lake",166,166,396,1,1.08,,29,
"Saginaw, MI",70,985,2181,17,1.05,,90,
"Salinas, CA",107,2284,5420,27,1.15,,261,
"Salisbury, MD-DE",59,863,1994,19,1.09,,82,
"San, Angelo",58,1186,2421,18,1.1,,148,
"San, German-Cabo",66,569,1197,10,1.12,,58,
"San, Luis",35,636,1600,20,1.12,,84,
"San, Marcos",42,959,2262,15,1.08,,118,
"Santa, Barbara",117,3801,10286,47,1.23,,705,
"Santa, Clarita",152,2287,7012,28,1.17,,296,
"Santa, Cruz",100,4393,10612,42,1.21,,600,
"Santa, Fe",54,1293,2803,28,1.11,,84,
"Santa, Maria",79,1016,2314,16,1.13,,153,
"Santa, Rosa",173,6630,18461,53,1.21,,685,
"Saratoga, Springs",41,757,1943,26,1.06,,85,
"Savannah, GA",157,4418,9878,35,1.11,,518,
"Scranton, PA",216,3193,7726,19,1.06,,303,
"Seaside-Monterey, CA",72,2347,6195,48,1.21,,388,
"Sebastian-Vero, Bch",93,1142,2529,14,1.09,,119,
"Sebring-Avon, Park",36,455,1039,11,1.11,,72,
"Sheboygan, WI",43,397,845,11,1.06,,31,
"Sherman, TX",43,667,1476,13,1.06,,83,
"Shreveport, LA",170,4271,8524,28,1.08,,904,
"Sierra, Vista",29,256,583,8,1.08,,28,
"Simi, Valley",74,792,2624,20,1.11,,104,
"Sioux, City",64,631,1587,14,1.07,,88,
"Sioux, Falls",99,1546,3529,19,1.07,,108,
"Slidell, LA",54,735,1447,15,1.04,,108,
"South, Bend",157,1647,3716,13,1.06,,247,
"South, Lyon-Howell",74,756,2190,16,1.05,,84,
"Spartanburg, SC",117,2127,5577,26,1.1,,207,
"Spring, Hill",91,950,2322,11,1.08,,81,
"Springfield, IL",93,1090,2510,14,1.06,,129,
"Springfield, MO",165,4020,10702,34,1.17,,575,
"Springfield, OH",50,384,888,9,1.04,,37,
"St., Augustine",45,948,2200,27,1.13,,69,
"St., Cloud",67,901,2054,17,1.07,,84,
"St., George",66,887,1537,12,1.05,,286,
"St., Joseph",45,595,1259,14,1.06,,65,
"State, College",54,550,1282,13,1.07,,29,
"Staunton-Waynesboro, VA",34,525,1245,14,1.06,,22,
"Sumter, SC",44,653,1528,19,1.11,,92,
"Syracuse, NY",239,3081,7819,18,1.07,,284,
"Tallahassee, FL",143,3454,7460,33,1.15,,224,
"Temple, TX",62,1165,2740,27,1.09,,191,
"Terre, Haute",55,861,1905,18,1.07,,111,
"Texarkana, TX-AR",50,1050,2269,20,1.06,,100,
"Texas, City",70,1107,2533,17,1.08,,125,
"Thousand, Oaks",127,2694,9029,41,1.2,,369,
"Titusville, FL",32,360,784,10,1.05,,34,
"Topeka, KS",85,1422,3264,21,1.07,,152,
"Tracy, CA",57,1214,3485,36,1.22,,198,
"Trenton, NJ",167,3275,8467,28,1.11,,311,
"Turlock, CA",64,1245,3215,29,1.15,,223,
"Tuscaloosa, AL",85,2173,5089,31,1.12,,179,
"Twin, Rivers-Highstown",40,767,1912,27,1.11,,67,
"Tyler, TX",84,3048,5666,32,1.18,,472,
"Uniontown-Connellsville, PA",29,356,846,16,1.04,,34,
"Utica, NY",69,916,2208,18,1.05,,84,
"Vacaville, CA",58,896,2860,27,1.11,,104,
"Valdosta, GA",48,912,1910,23,1.06,,116,
"Vallejo, CA",100,3134,8150,40,1.21,,445,
"Victoria, TX",41,991,1972,29,1.11,,115,
"Victorville-Hesperia, CA",191,2454,5764,16,1.08,,339,
"Villas, NJ",28,272,615,10,1.05,,22,
"Vineland, NJ",55,620,1505,14,1.07,,49,
"Visalia, CA",131,1940,4387,18,1.12,,402,
"Waco, TX",107,2912,5929,31,1.09,,476,
"Waldorf, MD",69,1128,2924,23,1.12,,92,
"Walla, Walla-WA-OR",33,317,726,10,1.07,,44,
"Warner, Robins",85,1073,2619,18,1.07,,97,
"Waterbury, CT",112,1797,4389,21,1.14,,185,
"Waterloo, IA",67,491,1328,8,1.05,,51,
"Watertown, NY",32,331,790,9,1.04,,37,
"Watsonville, CA",43,576,1579,20,1.15,,59,
"Wausau, WI",46,526,1213,14,1.04,,66,
"Weirton-Steubenville, WV-OH-PA",40,572,1196,17,1.04,,89,
"Wenatchee, WA",43,805,2061,26,1.16,,72,
"West, Bend",41,340,766,11,1.03,,37,
"Westminster-Eldersburg, MD",43,680,1673,22,1.12,,69,
"Wheeling, WV-OH",58,1004,2133,26,1.04,,186,
"Wichita, Falls",59,864,1922,13,1.07,,78,
"Williamsburg, VA",49,733,1911,19,1.08,,39,
"Williamsport, PA",31,439,1054,20,1.04,,39,
"Wilmington, NC",145,3014,7113,28,1.14,,197,
"Winchester, VA",41,1118,2610,31,1.1,,101,
"Winter, Haven",126,2064,4254,17,1.11,,238,
"Woodland, CA",33,396,943,12,1.08,,43,
"Yakima, WA",77,1385,2961,19,1.11,,173,
"Yauco, PR",42,215,528,6,1.11,,80,
"York, PA",134,2418,5225,21,1.09,,261,
"Youngstown, OH-PA",220,3014,6885,18,1.05,,330,
"Yuba, City",69,1117,2573,20,1.16,,164,
"Yuma, AZ-CA",78,1248,2689,19,1.09,,153,
"Zephyrhills, FL",44,623,1305,19,1.11,,70,
